Date,SN,Symbol ,Close Price* (Rs) ,Open Price (Rs) ,High Price (Rs) ,Low Price (Rs) ,Total Traded Quantity ,Total Traded Value ,Total Trades ,LTP ,Previous Day Close Price (Rs) ,Average Traded Price (Rs) ,52 Week High (Rs) ,52 Week Low (Rs) ,MarketCapitalization (Rs) (Amt in millions) 
2024-03-10,1,ACLBSL,640.00,606.10,650.90,606.10,"6,603","4,227,765.6",104,640.00(28) ,612.00,640.27,716.30,500.10,"2,349.72"
2024-03-10,2,ADBL,231.00,232.60,236.00,228.00,"12,089","2,790,977.4",132,231.00(2.9) ,228.10,230.86,307.70,223.00,"31,073.37"
2024-03-10,3,ADBLD83,"1,025.00","1,025.00","1,025.00","1,025.00",200,"205,000",2,"1,025.00(5) ","1,020.00","1,025.00","1,144.00",882.00,-
2024-03-10,4,AHL,448.00,447.70,453.00,439.50,"9,620","4,310,684",141,448.00(9) ,439.00,448.09,504.00,273.10,"1,523.20"
2024-03-10,5,AHPC,187.00,190.40,190.50,186.20,"35,018","6,575,277.2",226,187.00(0.2) ,186.80,187.76,316.00,176.00,"6,986.18"
2024-03-10,6,AKJCL,226.90,229.00,230.50,226.00,"36,373","8,271,869",201,226.90(0.9) ,226.00,227.41,250.00,141.30,"1,815.20"
2024-03-10,7,AKPL,185.60,187.00,188.40,185.00,"99,417","18,550,399.2",383,185.60(0.8) ,184.80,186.59,422.00,152.40,"7,230.87"
2024-03-10,8,ALBSL,660.00,642.00,676.00,635.10,"4,008","2,664,653.5",103,660.00(18) ,642.00,664.83,903.10,543.00,"4,234.67"
2024-03-10,9,ALICL,565.00,558.60,570.00,558.60,"31,158","17,643,048.1",176,565.00(8.1) ,556.90,566.24,812.00,517.50,"19,209.08"
2024-03-10,10,ANLB,"1,912.10","1,904.50","1,978.00","1,870.50","1,515","2,904,888",48,"1,912.10(44.9) ","1,867.20","1,917.41","2,651.00",403.80,"1,311.16"
2024-03-10,11,API,188.00,190.70,193.00,186.00,"76,086","14,354,116.5",407,188.00(1) ,187.00,188.65,269.00,154.70,"10,878.80"
