Date,SN,Symbol ,Close Price* (Rs) ,Open Price (Rs) ,High Price (Rs) ,Low Price (Rs) ,Total Traded Quantity ,Total Traded Value ,Total Trades ,LTP ,Previous Day Close Price (Rs) ,Average Traded Price (Rs) ,52 Week High (Rs) ,52 Week Low (Rs) ,MarketCapitalization (Rs) (Amt in millions) 
2024-03-13,1,ACLBSL,690.00,671.00,693.00,655.00,"4,900","3,345,934",99,690.00(10) ,680.00,682.84,716.30,500.10,"2,533.29"
2024-03-13,2,ADBL,236.00,240.00,242.00,235.00,"14,493","3,431,701.7",160,236.00(-3.7) ,239.70,236.78,282.90,223.00,"31,745.95"
2024-03-13,3,ADBLD83,"1,020.00","1,020.00","1,020.00","1,020.00",40,"40,800",1,"1,020.00(-5) ","1,025.00","1,020.00","1,144.00",892.20,-
2024-03-13,4,AHL,447.10,447.00,455.90,446.00,"1,926","866,555",69,447.10(-8.8) ,455.90,449.92,504.00,273.10,"1,520.14"
2024-03-13,5,AHPC,188.00,192.90,192.90,186.10,"71,383","13,461,034.4",385,188.00(-1.5) ,189.50,188.57,316.00,176.00,"7,023.54"
2024-03-13,6,AKJCL,228.70,229.00,233.00,227.00,"24,905","5,700,758",173,228.70(-0.3) ,229.00,228.90,250.00,141.30,"1,829.60"
2024-03-13,7,AKPL,188.20,186.20,192.70,186.20,"112,715","21,400,610.5",525,188.20(-1.7) ,189.90,189.86,417.00,152.40,"7,332.16"
2024-03-13,8,ALBSL,700.00,707.00,710.00,687.10,"3,750","2,625,813.2",94,700.00(0) ,700.00,700.21,903.10,543.00,"4,491.31"
2024-03-13,9,ALICL,600.00,601.00,609.00,590.00,"37,531","22,440,403.4",295,600.00(0) ,600.00,597.91,812.00,517.50,"20,399.02"
2024-03-13,10,ANLB,"2,238.00","2,079.00","2,253.90","2,079.00","8,512","18,824,663.9",230,"2,238.00(189) ","2,049.00","2,211.54","2,651.00",403.80,"1,534.64"
2024-03-13,11,API,191.10,192.50,195.00,189.00,"141,916","27,339,189.4",547,191.10(-0.4) ,191.50,192.64,269.00,154.70,"11,058.19"
2024-03-13,12,AVYAN,649.00,665.00,678.00,639.00,"8,388","5,530,847",210,649.00(-12) ,661.00,659.37,807.80,549.00,"1,622.50"
2024-03-13,13,BARUN,252.00,255.00,258.00,245.00,"88,782","22,293,048.7",204,252.00(-4) ,256.00,251.09,299.00,191.10,"1,350.25"
2024-03-13,14,BBC,"3,949.00","4,072.80","4,072.80","3,872.00",618,"2,432,427.7",26,"3,949.00(-44) ","3,993.00","3,935.96","4,539.00","3,050.00","1,940.54"
