Date,SN,Symbol ,Close Price* (Rs) ,Open Price (Rs) ,High Price (Rs) ,Low Price (Rs) ,Total Traded Quantity ,Total Traded Value ,Total Trades ,LTP ,Previous Day Close Price (Rs) ,Average Traded Price (Rs) ,52 Week High (Rs) ,52 Week Low (Rs) ,MarketCapitalization (Rs) (Amt in millions) 
2024-03-14,1,ACLBSL,688.50,679.00,693.70,657.00,"7,938","5,395,148.8",95,688.50(-1.5) ,690.00,679.66,716.30,500.10,"2,527.78"
2024-03-14,2,ADBL,233.50,236.00,236.00,231.40,"23,461","5,456,473.3",181,233.50(-2.5) ,236.00,232.57,275.00,223.00,"31,409.66"
2024-03-14,3,AHL,442.50,456.00,474.00,440.40,"4,910","2,187,220.6",84,442.50(-4.6) ,447.10,445.46,504.00,273.10,"1,504.50"
2024-03-14,4,AHPC,187.50,191.00,191.00,186.00,"52,652","9,854,815.2",270,187.50(-0.5) ,188.00,187.16,316.00,176.00,"7,004.86"
2024-03-14,5,AKJCL,227.80,233.20,233.20,225.00,"25,411","5,771,550.2",204,227.80(-0.9) ,228.70,227.12,250.00,141.30,"1,822.40"
2024-03-14,6,AKPL,186.20,191.00,191.50,185.80,"79,948","15,029,400.3",389,186.20(-2) ,188.20,187.98,417.00,152.40,"7,254.24"
2024-03-14,7,ALBSL,690.90,700.00,700.00,672.70,"3,791","2,589,838.6",85,690.90(-9.1) ,700.00,683.15,903.10,543.00,"4,432.92"
2024-03-14,8,ALICL,591.90,599.00,599.00,584.20,"33,996","20,105,301.2",216,591.90(-8.1) ,600.00,591.40,812.00,517.50,"20,123.63"
2024-03-14,9,ANLB,"2,163.40","2,195.00","2,265.00","2,080.10","2,868","6,212,157.8",66,"2,163.40(-74.6) ","2,238.00","2,166.02","2,651.00",403.80,"1,483.48"
2024-03-14,10,API,188.30,194.90,194.90,188.00,"84,425","16,011,552.9",400,188.30(-2.8) ,191.10,189.65,269.00,154.70,"10,896.16"
2024-03-14,11,AVYAN,644.00,636.20,656.00,630.00,"8,334","5,331,596.1",141,644.00(-5) ,649.00,639.74,807.80,549.00,"1,610.00"
2024-03-14,12,BARUN,251.00,253.00,256.60,250.10,"28,523","7,209,927.7",109,251.00(-1) ,252.00,252.77,299.00,191.10,"1,344.90"
2024-03-14,13,BBC,"3,900.00","3,900.00","3,900.00","3,835.90",215,"830,376.7",14,"3,900.00(-49) ","3,949.00","3,862.21","4,539.00","3,050.00","1,916.46"
2024-03-14,14,BEDC,354.90,348.90,363.00,348.90,"5,093","1,798,200.7",126,354.90(-1.1) ,356.00,353.07,412.90,170.00,"1,930.85"
2024-03-14,15,BFC,346.90,350.00,355.00,344.10,"24,880","8,649,382.4",181,346.90(-3) ,349.90,347.64,377.00,284.00,"2,965.36"
2024-03-14,16,BGWT,598.00,592.00,600.00,589.00,"8,477","5,042,868",108,598.00(-6) ,604.00,594.88,710.00,352.00,"3,420.95"
2024-03-14,17,BHDC,478.00,480.00,480.00,469.00,938,"441,681.2",56,478.00(3) ,475.00,470.87,523.00,286.50,"5,019.00"
2024-03-14,18,BHL,341.00,351.90,373.30,339.20,"7,018","2,417,771.3",98,341.00(-4) ,345.00,344.51,394.00,192.70,"6,233.38"
2024-03-14,19,BHPL,475.10,490.00,495.00,475.10,"5,212","2,519,245.2",72,475.10(-14.9) ,490.00,483.35,569.50,304.10,"1,187.75"
2024-03-14,20,BNHC,479.50,479.30,485.50,465.00,"22,316","10,626,653.7",217,479.50(9.5) ,470.00,476.18,511.90,270.10,"1,918.00"
