Date,SN,Symbol ,Close Price* (Rs) ,Open Price (Rs) ,High Price (Rs) ,Low Price (Rs) ,Total Traded Quantity ,Total Traded Value ,Total Trades ,LTP ,Previous Day Close Price (Rs) ,Average Traded Price (Rs) ,52 Week High (Rs) ,52 Week Low (Rs) ,MarketCapitalization (Rs) (Amt in millions) 
2024-03-25,1,ACLBSL,716.50,745.00,747.00,707.00,"5,710","4,092,815.9",85,716.50(-30.5) ,747.00,716.78,783.20,500.10,"2,630.58"
2024-03-25,2,ADBL,233.50,235.00,235.00,230.30,"30,270","7,070,949.7",111,233.50(-1.5) ,235.00,233.59,275.00,223.00,"31,409.66"
2024-03-25,3,ADBLD83,"1,040.00","1,040.00","1,040.00","1,040.00",100,"104,000",2,"1,040.00(18) ","1,022.00","1,040.00","1,144.00",892.20,-
2024-03-25,4,AHL,427.00,442.90,442.90,427.00,"2,071","891,459",54,427.00(-10) ,437.00,430.44,504.00,273.10,"1,451.80"
2024-03-25,5,AHPC,176.30,180.00,180.00,176.20,"28,851","5,104,407.1",215,176.30(-2.5) ,178.80,176.92,316.00,176.00,"6,586.44"
2024-03-25,6,AKJCL,216.40,217.00,217.00,214.00,"16,308","3,515,009.4",129,216.40(-0.6) ,217.00,215.53,250.00,141.30,"1,731.20"
2024-03-25,7,AKPL,179.00,182.00,182.00,177.40,"49,762","8,903,297.6",260,179.00(-2) ,181.00,178.91,417.00,152.40,"6,973.74"
2024-03-25,8,ALBSL,715.10,759.90,759.90,714.00,"12,258","8,885,724.5",183,715.10(-39.9) ,755.00,724.89,903.10,543.00,"4,588.20"
2024-03-25,9,ALICL,567.00,573.00,573.00,561.20,"9,028","5,113,938.6",90,567.00(-5.6) ,572.60,566.45,812.00,517.50,"19,277.07"
2024-03-25,10,ANLB,"1,941.20","2,087.00","2,087.00","1,941.20","2,141","4,280,095.2",84,"1,941.20(-187.8) ","2,129.00","1,999.11","2,651.00",403.80,"1,331.12"
2024-03-25,11,API,178.60,183.00,183.00,178.60,"63,637","11,424,426.5",312,178.60(-2.4) ,181.00,179.52,268.20,154.70,"10,334.86"
2024-03-25,12,AVYAN,672.00,694.60,694.60,657.10,"8,570","5,718,611.3",137,672.00(-9) ,681.00,667.28,807.80,549.00,"1,680.00"
2024-03-25,13,BARUN,239.90,245.00,245.00,237.10,"9,574","2,286,691.1",59,239.90(-2.1) ,242.00,238.84,299.00,191.10,"1,285.42"
2024-03-25,14,BBC,"3,815.00","3,800.00","3,850.00","3,800.00",280,"1,069,050",16,"3,815.00(-10) ","3,825.00","3,818.03","4,539.00","3,050.00","1,874.69"
2024-03-25,15,BEDC,344.50,343.00,346.60,338.20,"3,867","1,320,653.5",76,344.50(-5.5) ,350.00,341.51,412.90,170.00,"1,874.26"
2024-03-25,16,BFC,353.50,351.50,355.00,345.00,"18,462","6,459,465.4",140,353.50(0.5) ,353.00,349.87,377.00,284.00,"3,021.78"
2024-03-25,17,BGWT,650.00,620.00,657.00,600.00,"11,876","7,332,324.7",155,650.00(17.6) ,632.40,617.40,710.00,352.00,"3,718.42"
2024-03-25,18,BHDC,450.00,460.00,460.00,447.70,"1,659","752,635.2",44,450.00(-14) ,464.00,453.66,523.00,286.50,"4,725.00"
2024-03-25,19,BHL,337.00,336.50,338.00,331.20,"5,019","1,672,683.1",78,337.00(-6) ,343.00,333.27,394.00,192.70,"6,160.26"
2024-03-25,20,BHPL,471.00,478.00,490.00,471.00,"1,611","773,341",29,471.00(-13) ,484.00,480.03,569.50,304.10,"1,177.50"
2024-03-25,21,BNHC,490.10,533.70,533.70,490.10,"28,031","13,990,853",249,490.10(-54.4) ,544.50,499.12,617.00,270.10,"1,960.40"
2024-03-25,22,BNL,"18,276.50","16,947.30","18,276.50","16,947.30",80,"1,423,104",8,"18,276.50(1,661.5) ","16,615.00","17,788.80","23,765.60","2,222.20","35,618.83"
2024-03-25,23,BNT,"13,775.00","13,135.00","14,000.00","13,135.00","1,958","26,773,385",87,"13,775.00(374) ","13,401.00","13,673.84","17,508.00","10,500.00","16,667.75"
2024-03-25,24,BPCL,304.00,305.00,308.00,303.40,"10,724","3,267,066.4",96,304.00(-3) ,307.00,304.64,365.00,292.10,"10,363.56"
2024-03-25,25,C30MF,9.27,8.92,9.27,8.92,"1,700","15,472",6,9.27(0.17) ,9.10,9.10,10.00,7.61,695.92
