Date,SN,Symbol ,Close Price* (Rs) ,Open Price (Rs) ,High Price (Rs) ,Low Price (Rs) ,Total Traded Quantity ,Total Traded Value ,Total Trades ,LTP ,Previous Day Close Price (Rs) ,Average Traded Price (Rs) ,52 Week High (Rs) ,52 Week Low (Rs) ,MarketCapitalization (Rs) (Amt in millions) 
2024-03-21,1,ACLBSL,747.00,765.00,778.00,715.50,"3,915","2,939,141.7",88,747.00(-18) ,765.00,750.73,783.20,500.10,"2,742.56"
2024-03-21,2,ADBL,235.00,230.10,238.00,230.00,"18,890","4,432,653",122,235.00(0.5) ,234.50,234.65,275.00,223.00,"31,611.43"
2024-03-21,3,ADBLD83,"1,022.00","1,022.00","1,022.00","1,022.00",100,"102,200",2,"1,022.00(-8) ","1,030.00","1,022.00","1,144.00",892.20,-
2024-03-21,4,AHL,437.00,448.50,448.50,430.30,"6,101","2,646,185.6",80,437.00(-2.9) ,439.90,433.72,504.00,273.10,"1,485.80"
2024-03-21,5,AHPC,178.80,184.00,184.00,178.70,"31,260","5,621,023.9",206,178.80(-2.9) ,181.70,179.81,316.00,176.00,"6,679.83"
2024-03-21,6,AKJCL,217.00,219.60,223.50,217.00,"34,794","7,594,552.7",214,217.00(-4.5) ,221.50,218.27,250.00,141.30,"1,736.00"
2024-03-21,7,AKPL,181.00,182.90,182.90,179.70,"65,495","11,810,004.1",311,181.00(-0.1) ,181.10,180.31,417.00,152.40,"7,051.66"
2024-03-21,8,ALBSL,755.00,761.90,774.00,750.00,"32,667","24,832,947.3",388,755.00(8) ,747.00,760.18,903.10,543.00,"4,844.20"
2024-03-21,9,ALICL,572.60,579.00,579.90,570.00,"7,192","4,135,417.8",92,572.60(-5.4) ,578.00,575.00,812.00,517.50,"19,467.46"
2024-03-21,10,ANLB,"2,129.00","2,162.20","2,162.20","2,050.30","1,958","4,094,544.7",72,"2,129.00(-76) ","2,205.00","2,091.18","2,651.00",403.80,"1,459.89"
2024-03-21,11,API,181.00,180.10,185.00,180.10,"64,761","11,727,201.5",311,181.00(-1) ,182.00,181.08,268.20,154.70,"10,473.74"
2024-03-21,12,AVYAN,681.00,702.00,709.00,676.20,"8,221","5,675,278.3",159,681.00(-21) ,702.00,690.33,807.80,549.00,"1,702.50"
2024-03-21,13,BARUN,242.00,248.00,248.00,240.10,"15,789","3,823,997.9",87,242.00(-3) ,245.00,242.19,299.00,191.10,"1,296.67"
2024-03-21,14,BBC,"3,825.00","3,918.00","3,918.00","3,770.00",450,"1,712,813.5",25,"3,825.00(-18.9) ","3,843.90","3,806.25","4,539.00","3,050.00","1,879.61"
2024-03-21,15,BEDC,350.00,340.10,361.90,340.10,"4,609","1,603,123.6",109,350.00(3.3) ,346.70,347.82,412.90,170.00,"1,904.19"
2024-03-21,16,BFC,353.00,350.00,364.10,346.00,"46,513","16,644,210.6",244,353.00(2) ,351.00,357.83,377.00,284.00,"3,017.50"
2024-03-21,17,BGWT,632.40,610.00,663.00,608.20,"23,909","14,930,202.9",223,632.40(18.4) ,614.00,624.45,710.00,352.00,"3,617.74"
2024-03-21,18,BHDC,464.00,464.00,468.20,464.00,"10,871","5,067,924.3",62,464.00(-9) ,473.00,466.18,523.00,286.50,"4,872.00"
2024-03-21,19,BHL,343.00,342.00,359.00,337.00,"3,490","1,191,858",72,343.00(-2.9) ,345.90,341.50,394.00,192.70,"6,269.94"
2024-03-21,20,BHPL,484.00,485.00,489.00,480.50,"2,240","1,087,721",43,484.00(-6) ,490.00,485.58,569.50,304.10,"1,210.00"
2024-03-21,21,BNHC,544.50,617.00,617.00,544.50,"82,137","44,916,198.4",492,544.50(-60.5) ,605.00,546.84,617.00,270.10,"2,178.00"
2024-03-21,22,BNL,"16,615.00","17,983.00","17,983.00","16,615.00",241,"4,137,084",24,"16,615.00(-1,735) ","18,350.00","17,166.32","23,765.60","2,222.20","32,380.76"
2024-03-21,23,BNT,"13,401.00","13,041.00","13,837.10","13,035.00",595,"8,057,367",44,"13,401.00(101.1) ","13,299.90","13,541.79","17,508.00","10,500.00","16,215.21"
2024-03-21,24,BOKD86,901.20,903.00,903.00,903.00,25,"22,566",2,901.20(-0.4) ,901.60,902.64,920.00,745.00,"1,441.92"
2024-03-21,25,BPCL,307.00,312.20,312.20,306.00,"8,294","2,545,095.4",73,307.00(0.9) ,306.10,306.85,365.00,292.10,"10,465.83"
2024-03-21,26,C30MF,9.10,9.28,9.28,9.10,"1,000","9,118",5,9.10(0) ,9.10,9.11,10.00,7.61,683.16
2024-03-21,27,CBBL,866.00,878.10,889.90,866.00,"6,950","6,050,047.5",172,866.00(-11.9) ,877.90,870.51,"1,052.50",727.00,"25,782.31"
2024-03-21,28,CBLD88,"1,014.50","1,015.00","1,015.00","1,014.50",50,"50,737.5",2,"1,014.50(0) ","1,014.50","1,014.75","1,024.00",824.10,-
2024-03-21,29,CCBD88,"1,011.50","1,010.00","1,011.50","1,010.00",125,"126,287.5",2,"1,011.50(0.5) ","1,011.00","1,010.30","1,022.90",831.00,-
2024-03-21,30,CFCL,359.00,350.10,370.00,350.10,"64,786","23,410,501.8",321,359.00(8.8) ,350.20,361.35,423.00,275.50,"3,406.46"
2024-03-21,31,CGH,822.00,849.60,849.60,818.10,"10,844","8,937,535.1",180,822.00(-11) ,833.00,824.19,"1,520.00",796.20,"12,610.23"
2024-03-21,32,CHCL,466.00,472.00,472.00,462.00,"9,087","4,218,555.3",116,466.00(-1) ,467.00,464.24,594.00,452.10,"37,205.43"
2024-03-21,33,CHDC,940.00,941.00,960.00,936.50,"8,398","7,919,369",139,940.00(-14.9) ,954.90,943.00,"1,217.20",681.20,"7,890.45"
2024-03-21,34,CHL,288.10,295.00,295.00,287.00,"6,539","1,885,392.7",51,288.10(-4.7) ,292.80,288.33,337.00,194.10,"1,114.88"
2024-03-21,35,CIT,"2,114.00","2,120.00","2,129.00","2,112.00","7,987","16,908,068.4",158,"2,114.00(-4) ","2,118.00","2,116.94","2,704.00","1,850.00","112,332.68"
2024-03-21,36,CITY,605.00,599.00,608.00,596.10,"6,401","3,845,820.5",123,605.00(-1) ,606.00,600.81,782.50,111.10,"10,127.70"
2024-03-21,37,CKHL,613.30,604.70,616.00,600.00,"11,487","6,938,521.4",173,613.30(-3.7) ,617.00,604.03,686.80,300.00,"2,453.20"
2024-03-21,38,CLI,458.20,458.10,467.00,457.10,"25,493","11,714,735.3",597,458.20(-6.8) ,465.00,459.52,567.00,375.00,"18,041.63"
2024-03-21,39,CMF1,8.80,8.73,8.81,8.72,"16,594","145,342.2",6,8.80(-0.08) ,8.88,8.75,9.40,6.96,721.60
2024-03-21,40,CMF2,7.93,7.91,7.93,7.91,"1,100","8,703",2,7.93(-0.03) ,7.96,7.91,10.39,6.81,444.08
2024-03-21,41,CORBL,427.00,434.00,445.70,427.00,"8,865","3,869,654.8",66,427.00(-10) ,437.00,436.50,475.00,277.80,"2,241.75"
2024-03-21,42,CYCL,"1,349.90","1,347.00","1,457.00","1,328.90","8,962","12,200,757.2",232,"1,349.90(-24.1) ","1,374.00","1,361.38","1,560.00",882.00,"3,596.46"
2024-03-21,43,CZBIL,163.80,164.70,164.70,161.50,"29,612","4,802,928.6",121,163.80(-0.9) ,164.70,162.19,207.80,156.80,"23,261.20"
2024-03-21,44,DDBL,799.00,801.10,815.00,793.00,"10,297","8,238,524.9",172,799.00(-1.3) ,800.30,800.08,913.00,606.70,"12,393.20"
2024-03-21,45,DHPL,198.00,204.00,204.00,197.00,"5,175","1,027,795.7",38,198.00(-3) ,201.00,198.60,242.00,134.00,522.72
2024-03-21,46,DLBS,"1,408.00","1,254.40","1,408.00","1,181.00","9,599","11,823,685.6",205,"1,408.00(128) ","1,280.00","1,231.76","1,408.00",579.00,"1,874.05"
2024-03-21,47,DOLTI,373.00,375.00,379.00,370.60,"19,814","7,404,831.5",138,373.00(-7) ,380.00,373.71,450.00,177.40,"2,001.09"
2024-03-21,48,DORDI,452.80,455.00,455.00,441.30,"49,022","21,937,334.5",405,452.80(-0.2) ,453.00,447.49,576.00,191.60,"4,773.69"
2024-03-21,49,EBL,513.10,512.00,518.00,511.20,"15,525","7,973,915.1",108,513.10(-1) ,514.10,513.61,633.00,448.00,"60,381.12"
2024-03-21,50,EDBL,361.00,363.20,367.00,358.10,"26,021","9,433,679.1",69,361.00(-9) ,370.00,362.54,399.70,266.40,"4,511.40"
2024-03-21,51,EHPL,439.90,450.00,454.50,431.30,"6,576","2,865,241.3",62,439.90(-6.1) ,446.00,435.71,500.00,273.00,"2,727.38"
2024-03-21,52,ENL,762.20,761.00,786.00,761.00,"1,493","1,151,876.6",39,762.20(-9.8) ,772.00,771.51,"1,060.00",572.00,"4,234.78"
2024-03-21,53,FMDBL,627.40,652.00,663.00,627.20,"60,663","39,037,996.3",576,627.40(-12.3) ,639.70,643.52,781.00,497.20,"7,741.03"
2024-03-21,54,FOWAD,"1,130.10","1,149.00","1,150.00","1,130.00","2,236","2,548,056.9",48,"1,130.10(-18.9) ","1,149.00","1,139.56","1,493.00",974.00,"11,928.93"
2024-03-21,55,FOWADP,250.00,"1,199.00","1,199.00","1,199.00","133,700","59,055,000",16,250.00(-949) ,"1,199.00",441.69,"1,199.00","1,199.00",375.06
2024-03-21,56,GBBD85,916.00,916.00,916.00,916.00,55,"50,380",2,916.00(-9) ,925.00,916.00,"1,000.00",768.10,-
2024-03-21,57,GBBL,373.00,372.00,375.00,371.20,"19,006","7,083,394.1",154,373.00(0) ,373.00,372.69,432.40,336.00,"21,188.33"
2024-03-21,58,GBILD86/87,903.50,903.50,903.50,903.50,25,"22,587.5",1,903.50(2.4) ,901.10,903.50,917.50,743.90,-
2024-03-21,59,GBIME,187.30,189.00,190.00,186.60,"43,742","8,209,397.5",227,187.30(-2.7) ,190.00,187.67,241.90,176.00,"67,669.19"
2024-03-21,60,GBLBS,641.00,660.00,660.00,637.10,"14,471","9,332,949.3",186,641.00(-8) ,649.00,644.94,673.00,427.00,"6,297.82"
2024-03-21,61,GCIL,530.20,528.00,545.00,525.10,"85,579","45,780,151.4",770,530.20(2.1) ,528.10,534.94,614.00,363.10,"24,217.87"
2024-03-21,62,GFCL,476.00,474.00,487.00,469.00,"22,624","10,848,642.5",159,476.00(4) ,472.00,479.51,530.00,375.00,"4,503.51"
2024-03-21,63,GHL,155.10,156.30,162.00,154.90,"120,241","18,832,228.9",455,155.10(-3.9) ,159.00,156.62,286.00,120.00,"2,559.15"
2024-03-21,64,GIBF1,8.32,8.39,8.55,8.31,"1,700","14,259",7,8.32(-0.24) ,8.56,8.38,9.70,7.20,853.44
2024-03-21,65,GILB,928.20,922.00,941.40,922.00,"7,829","7,303,864.3",94,928.20(-11.8) ,940.00,932.92,"1,110.70",665.10,"5,744.63"
2024-03-21,66,GLBSL,"1,424.90","1,476.90","1,536.00","1,383.10","14,168","19,903,952.9",157,"1,424.90(-82.1) ","1,507.00","1,404.85","1,536.00",589.10,"1,444.85"
2024-03-21,67,GLH,225.00,222.10,248.40,222.10,"120,367","27,296,823.8",313,225.00(-0.9) ,225.90,226.77,318.00,194.60,"4,050.00"
2024-03-21,68,GMFBS,"1,033.00","1,030.00","1,100.00","1,025.00","3,238","3,405,148.1",88,"1,033.00(23) ","1,010.00","1,051.62","1,100.00",641.00,"1,565.56"
2024-03-21,69,GMFIL,366.00,370.00,377.40,361.00,"31,370","11,641,697.9",137,366.00(3.1) ,362.90,371.10,427.00,277.00,"3,704.56"
2024-03-21,70,GRDBL,376.30,375.60,384.80,370.10,"16,794","6,357,299.8",107,376.30(0.7) ,375.60,378.54,402.00,235.50,"1,953.00"
2024-03-21,71,GUFL,855.00,927.10,927.10,852.00,"327,548","285,310,580","2,108",855.00(-91) ,946.00,871.04,946.00,454.00,"7,421.35"
2024-03-21,72,GVL,427.50,421.30,437.50,421.30,"8,793","3,767,240.5",133,427.50(-1.5) ,429.00,428.43,498.00,299.90,"13,359.38"
2024-03-21,73,GWFD83,"1,135.00","1,135.00","1,135.00","1,135.00",25,"28,375",1,"1,135.00(-5) ","1,140.00","1,135.00","1,147.50","1,000.00",-
2024-03-21,74,H8020,8.75,8.70,8.87,8.64,"11,800","102,176",17,8.75(-0.06) ,8.81,8.65,10.10,8.30,87.50
2024-03-21,75,HATHY,860.00,887.40,887.40,855.00,"26,133","22,554,127.2",335,860.00(-10) ,870.00,863.05,"1,123.00",279.50,"22,136.40"
2024-03-21,76,HBL,193.00,197.60,197.60,191.00,"9,939","1,905,844.2",114,193.00(-1) ,194.00,191.75,243.10,184.00,"41,797.27"
2024-03-21,77,HBLD86,"1,011.00","1,011.00","1,012.00","1,011.00",450,"455,350",3,"1,011.00(1) ","1,010.00","1,011.88","1,017.90",938.00,-
2024-03-21,78,HDHPC,138.80,140.10,141.70,138.50,"74,232","10,385,166.3",320,138.80(-1.2) ,140.00,139.90,229.40,116.00,"3,886.40"
2024-03-21,79,HDL,"1,539.00","1,578.00","1,578.00","1,535.00","21,275","32,792,786.2",510,"1,539.00(-16) ","1,555.00","1,541.37","2,510.00","1,441.00","41,130.13"
2024-03-21,80,HEI,592.00,597.40,605.00,590.30,"13,534","8,021,649.1",102,592.00(-3) ,595.00,592.70,705.00,404.90,"14,800.93"
2024-03-21,81,HEIP,362.00,362.00,362.00,362.00,7,"2,484.3",1,362.00(0) ,362.00,354.90,486.90,245.50,968.37
2024-03-21,82,HHL,334.00,343.90,343.90,331.60,"11,057","3,686,780.5",135,334.00(-4.1) ,338.10,333.43,387.00,170.30,"3,657.30"
2024-03-21,83,HIDCL,173.10,175.00,178.00,173.00,"43,678","7,608,646.6",254,173.10(-2.8) ,175.90,174.19,212.00,154.00,"39,424.91"
2024-03-21,84,HIDCLP,103.50,101.20,106.50,101.20,"36,318","3,748,192",67,103.50(0.3) ,103.20,103.20,118.00,96.60,10.35
2024-03-21,85,HLBSL,698.00,726.00,726.90,677.20,"18,153","12,680,615.7",137,698.00(-28) ,726.00,698.54,846.00,519.10,"2,232.33"
2024-03-21,86,HLI,410.00,411.00,414.00,409.20,"42,209","17,364,870.3",362,410.00(-5) ,415.00,411.40,574.00,340.00,"32,883.57"
2024-03-21,87,HPPL,270.80,276.90,276.90,268.00,"5,383","1,452,130.1",46,270.80(-1.2) ,272.00,269.76,322.00,199.00,"2,885.15"
2024-03-21,88,HRL,606.50,614.10,618.00,605.00,"157,312","95,976,407.08","2,204",606.50(-7.6) ,614.10,610.10,731.00,309.20,"63,076.00"
2024-03-21,89,HURJA,290.00,296.00,296.90,290.00,"31,855","9,351,891.9",115,290.00(-2) ,292.00,293.57,353.00,205.00,"2,871.00"
2024-03-21,90,ICFC,519.00,515.00,527.30,514.00,"68,424","35,689,048.3",458,519.00(7) ,512.00,521.58,552.00,391.00,"6,142.21"
2024-03-21,91,ICFCD83,"1,145.00","1,145.00","1,145.00","1,145.00",100,"114,500",1,"1,145.00(5) ","1,140.00","1,145.00","1,186.00",994.70,-
2024-03-21,92,IGI,543.80,554.60,554.60,535.00,"24,566","13,288,915.6",130,543.80(0) ,543.80,540.94,615.00,366.20,"16,473.52"
2024-03-21,93,IHL,350.00,352.20,359.00,349.20,"6,198","2,183,670",120,350.00(-9) ,359.00,352.31,395.00,200.20,"2,100.00"
2024-03-21,94,ILBS,885.00,920.00,933.00,885.00,"13,527","12,135,683.7",184,885.00(-35) ,920.00,897.14,958.80,537.00,"4,402.13"
2024-03-21,95,ILI,538.60,542.00,544.00,538.40,"18,917","10,220,942.3",547,538.60(-2.9) ,541.50,540.30,640.60,444.00,"21,544.00"
2024-03-21,96,JALPA,"1,241.00","1,265.00","1,290.00","1,240.00","1,401","1,760,024.8",55,"1,241.00(-24) ","1,265.00","1,256.26","2,385.00",920.00,"2,268.55"
2024-03-21,97,JBBD87,930.00,930.00,930.00,930.00,100,"93,000",1,930.00(7) ,923.00,930.00,"1,000.00",805.00,-
2024-03-21,98,JBBL,300.00,302.00,304.00,298.20,"40,699","12,224,719.1",179,300.00(-2) ,302.00,300.36,357.00,249.10,"13,187.36"
2024-03-21,99,JBLB,"1,376.00","1,372.00","1,399.40","1,370.00","4,690","6,459,532",191,"1,376.00(-24) ","1,400.00","1,377.29","1,879.00","1,205.00","18,541.86"
2024-03-21,100,JFL,394.00,390.00,410.00,390.00,"35,417","14,156,142.2",265,394.00(4) ,390.00,399.69,441.00,316.70,"2,720.46"
2024-03-21,101,JOSHI,335.00,344.70,344.70,333.00,"43,075","14,473,166.7",309,335.00(-3) ,338.00,335.99,412.00,182.10,"1,244.19"
2024-03-21,102,JSLBB,"1,060.00","1,040.00","1,080.00","1,040.00","4,270","4,554,652.8",76,"1,060.00(4.5) ","1,055.50","1,066.66","1,190.00",785.00,"1,802.97"
2024-03-21,103,KBL,140.60,144.60,144.60,140.00,"60,669","8,539,936.9",328,140.60(-1.2) ,141.80,140.76,195.80,138.30,"36,873.56"
2024-03-21,104,KBLPO,106.00,106.00,106.00,106.00,"200,610","21,264,660",1,106.00(0) ,106.00,106.00,116.60,106.00,556.50
2024-03-21,105,KBSH,"1,039.00","1,050.60","1,060.00","1,018.00","1,270","1,307,937",32,"1,039.00(9) ","1,030.00","1,029.87","1,210.00",479.00,"1,266.20"
2024-03-21,106,KDBY,8.71,8.54,8.71,8.54,"5,140","43,944",17,8.71(0.14) ,8.57,8.54,10.07,7.24,34.84
2024-03-21,107,KDL,790.00,792.10,807.00,787.10,"4,822","3,841,113",88,790.00(-18) ,808.00,796.58,"1,102.00",134.40,"4,740.00"
2024-03-21,108,KEF,8.01,7.88,8.10,7.88,"4,450","35,693.5",14,8.01(-0.02) ,8.03,8.02,10.35,6.91,801.00
2024-03-21,109,KKHC,242.90,245.00,245.00,241.00,"5,051","1,221,369",45,242.90(-3.1) ,246.00,241.80,280.50,158.00,"1,131.22"
2024-03-21,110,KLBSL,"1,020.00",940.00,"1,020.00",892.00,"5,640","5,157,581.6",66,"1,020.00(92) ",928.00,914.46,"1,054.10",539.00,"5,144.54"
2024-03-21,111,KMCDB,812.00,828.00,838.00,812.00,"7,647","6,278,465",88,812.00(-10) ,822.00,821.03,855.00,526.00,"3,023.25"
2024-03-21,112,KPCL,410.00,405.00,410.00,402.00,"2,706","1,102,780.3",36,410.00(5) ,405.00,407.53,476.00,272.40,"3,578.68"
2024-03-21,113,KRBL,442.40,410.00,442.40,398.00,"101,170","41,412,949.8",298,442.40(37.4) ,405.00,409.34,442.40,241.10,"2,224.52"
