Date,SN,Symbol ,Close Price* (Rs) ,Open Price (Rs) ,High Price (Rs) ,Low Price (Rs) ,Total Traded Quantity ,Total Traded Value ,Total Trades ,LTP ,Previous Day Close Price (Rs) ,Average Traded Price (Rs) ,52 Week High (Rs) ,52 Week Low (Rs) ,MarketCapitalization (Rs) (Amt in millions) 
2024-03-07,1,ACLBSL,612.00,620.00,620.00,605.00,443,"270,571.4",21,612.00(2.5) ,609.50,610.77,716.30,500.10,"2,246.92"
2024-03-07,2,ADBL,228.10,229.00,229.90,226.10,"23,094","5,282,655.3",122,228.10(-0.2) ,228.30,228.74,307.70,223.00,"30,683.27"
2024-03-07,3,AHL,439.00,435.00,461.00,426.00,"8,151","3,581,336.9",101,439.00(7.8) ,431.20,439.37,504.00,273.10,"1,492.60"
2024-03-07,4,AHPC,186.80,188.00,193.00,186.00,"40,752","7,664,526.5",254,186.80(1) ,185.80,188.07,316.00,176.00,"6,978.71"
2024-03-07,5,AKJCL,226.00,225.00,234.60,225.00,"48,807","11,055,186.1",235,226.00(4.5) ,221.50,226.50,250.00,141.30,"1,808.00"
2024-03-07,6,AKPL,184.80,182.10,189.00,182.10,"58,876","10,905,533.1",297,184.80(2.7) ,182.10,185.22,422.00,152.40,"7,199.70"
2024-03-07,7,ALBSL,642.00,640.00,658.00,637.00,"1,111","714,685.7",54,642.00(-6) ,648.00,643.28,903.10,543.00,"4,119.17"
2024-03-07,8,ALICL,556.90,564.50,564.50,550.00,"20,900","11,664,065.7",138,556.90(0.9) ,556.00,558.08,812.00,517.50,"18,933.69"
2024-03-07,9,ALICLP,308.00,308.00,308.00,308.00,"25,000","7,700,000",1,308.00(0) ,308.00,308.00,382.00,308.00,30.80
2024-03-07,10,ANLB,"1,867.20","1,943.00","1,943.00","1,867.20",200,"377,948",15,"1,867.20(-37.8) ","1,905.00","1,889.74","2,651.00",403.80,"1,280.37"
2024-03-07,11,API,187.00,191.00,193.00,186.30,"103,854","19,614,986.2",414,187.00(-0.5) ,187.50,188.87,269.00,154.70,"10,820.94"
2024-03-07,12,AVYAN,587.10,602.70,602.70,585.20,"2,212","1,302,067.5",76,587.10(-3.9) ,591.00,588.63,807.80,549.00,"1,467.75"
2024-03-07,13,BARUN,253.80,255.00,256.00,249.60,"38,462","9,695,487.3",115,253.80(2.8) ,251.00,252.07,299.00,191.10,"1,359.90"
2024-03-07,14,BBC,"3,979.80","3,900.00","3,989.90","3,786.00",985,"3,801,831",42,"3,979.80(38.8) ","3,941.00","3,859.72","4,539.00","3,050.00","1,955.67"
2024-03-07,15,BEDC,360.00,366.00,370.00,357.00,"18,190","6,579,599.4",205,360.00(0) ,360.00,361.71,412.90,170.00,"1,958.59"
2024-03-07,16,BFC,334.00,334.50,335.00,328.00,"15,381","5,102,744.3",89,334.00(6) ,328.00,331.75,377.00,284.00,"2,855.09"
2024-03-07,17,BGWT,575.00,566.00,580.00,566.00,"5,456","3,111,740.6",111,575.00(9) ,566.00,570.33,710.00,352.00,"3,289.37"
2024-03-07,18,BHDC,463.00,463.00,464.10,445.40,"11,571","5,264,208.4",102,463.00(9) ,454.00,454.94,523.00,286.50,"4,861.50"
2024-03-07,19,BHL,364.00,352.40,364.00,343.20,"21,416","7,617,989.5",180,364.00(15) ,349.00,355.71,394.00,192.70,"6,653.81"
2024-03-07,20,BHPL,498.90,488.50,506.90,483.20,"7,615","3,736,028",102,498.90(19.9) ,479.00,490.61,572.00,304.10,"1,247.25"
2024-03-07,21,BNHC,483.80,447.50,502.00,440.00,"64,515","30,694,574.9",370,483.80(27.2) ,456.60,475.77,511.90,270.10,"1,935.20"
2024-03-07,22,BNL,"21,500.00","20,580.00","21,500.00","18,900.00",330,"6,492,282",29,"21,500.00(500) ","21,000.00","19,673.58","23,765.60","2,222.20","41,901.07"
2024-03-07,23,BNT,"14,000.00","14,926.00","14,926.00","13,725.00","2,237","31,524,240.3",81,"14,000.00(-637) ","14,637.00","14,092.19","17,508.00","10,500.00","16,940.00"
2024-03-07,24,BOKD86,918.00,899.00,918.00,899.00,75,"68,175",3,918.00(18) ,900.00,909.00,918.00,740.10,"1,468.80"
2024-03-07,25,BPCL,310.00,315.00,321.00,308.20,"7,339","2,286,135",76,310.00(1) ,309.00,311.50,365.00,292.10,"10,568.10"
