Date,SN,Symbol ,Close Price* (Rs) ,Open Price (Rs) ,High Price (Rs) ,Low Price (Rs) ,Total Traded Quantity ,Total Traded Value ,Total Trades ,LTP ,Previous Day Close Price (Rs) ,Average Traded Price (Rs) ,52 Week High (Rs) ,52 Week Low (Rs) ,MarketCapitalization (Rs) (Amt in millions) 
2024-03-06,1,ACLBSL,609.50,610.00,619.00,607.00,"1,356","828,272.9",29,609.50(1.5) ,608.00,610.82,716.30,500.10,"2,237.74"
2024-03-06,2,ADBL,228.30,229.50,231.00,225.50,"22,025","5,043,571.3",146,228.30(-1.2) ,229.50,228.99,307.70,223.00,"30,710.17"
2024-03-06,3,ADBLD83,"1,020.00","1,019.20","1,039.00","1,019.20",261,"266,330",3,"1,020.00(-20) ","1,040.00","1,020.42","1,144.00",865.10,-
2024-03-06,4,AHL,431.20,425.30,445.00,422.00,"7,680","3,316,508.5",99,431.20(-1.3) ,432.50,431.83,504.00,273.10,"1,466.08"
2024-03-06,5,AHPC,185.80,190.00,192.00,181.30,"77,340","14,488,637.2",379,185.80(-3.8) ,189.60,187.33,316.00,176.00,"6,941.35"
2024-03-06,6,AKJCL,221.50,220.00,227.00,217.00,"49,423","10,979,491.8",245,221.50(0.5) ,221.00,222.15,250.00,141.30,"1,772.00"
2024-03-06,7,AKPL,182.10,183.40,187.50,180.00,"105,632","19,448,697.2",423,182.10(-1.3) ,183.40,184.11,422.00,152.40,"7,094.51"
2024-03-06,8,ALBSL,648.00,632.00,649.00,625.00,"2,943","1,898,224.8",72,648.00(4) ,644.00,644.99,903.10,543.00,"4,157.67"
2024-03-06,9,ALICL,556.00,550.00,559.00,545.50,"19,592","10,817,440.9",169,556.00(7) ,549.00,552.13,812.00,517.50,"18,903.09"
2024-03-06,10,ALICLP,308.00,308.00,308.00,308.00,"50,000","15,400,000",1,308.00(0) ,308.00,308.00,382.00,308.00,30.80
2024-03-06,11,ANLB,"1,905.00","1,890.00","1,916.00","1,856.20",239,"449,615.9",15,"1,905.00(17) ","1,888.00","1,881.23","2,651.00",403.80,"1,306.29"
2024-03-06,12,API,187.50,183.00,191.00,182.00,"126,770","23,747,118.8",561,187.50(1.6) ,185.90,187.32,269.00,154.70,"10,849.87"
2024-03-06,13,AVYAN,591.00,598.00,598.00,581.00,"1,535","904,340",55,591.00(1) ,590.00,589.14,807.80,549.00,"1,477.50"
2024-03-06,14,BARUN,251.00,244.50,255.10,242.30,"63,783","16,006,671.8",162,251.00(3) ,248.00,250.95,299.00,191.10,"1,344.90"
2024-03-06,15,BBC,"3,941.00","3,942.00","4,010.00","3,860.00",464,"1,825,333.7",34,"3,941.00(76) ","3,865.00","3,933.90","4,539.00","3,050.00","1,936.61"
2024-03-06,16,BEDC,360.00,342.00,364.50,338.00,"19,431","6,773,298.5",201,360.00(13) ,347.00,348.58,412.90,170.00,"1,958.59"
2024-03-06,17,BFC,328.00,321.00,334.80,321.00,"19,526","6,411,758",106,328.00(2) ,326.00,328.37,377.00,284.00,"2,803.80"
2024-03-06,18,BGWT,566.00,565.70,585.00,565.70,"7,405","4,231,707",133,566.00(-10.9) ,576.90,571.46,710.00,352.00,"3,237.89"
2024-03-06,19,BHDC,454.00,442.80,460.80,438.00,"6,514","2,921,567.8",116,454.00(19.8) ,434.20,448.50,523.00,286.50,"4,767.00"
2024-03-06,20,BHL,349.00,331.20,353.90,331.20,"37,307","12,895,153.4",200,349.00(13) ,336.00,345.64,394.00,192.70,"6,379.62"
2024-03-06,21,BHPL,479.00,471.50,495.00,467.00,"7,052","3,423,355.2",94,479.00(-2) ,481.00,485.44,572.00,304.10,"1,197.50"
2024-03-06,22,BNHC,456.60,464.10,464.10,442.00,"7,968","3,591,468.8",94,456.60(1.6) ,455.00,450.73,511.90,270.10,"1,826.40"
2024-03-06,23,BNL,"21,000.00","20,542.80","21,381.00","19,336.00",160,"3,279,171",15,"21,000.00(38) ","20,962.00","20,494.81","23,765.60","2,222.20","40,926.63"
2024-03-06,24,BNT,"14,637.00","14,505.00","15,250.00","14,200.00","1,514","22,060,434",94,"14,637.00(-163) ","14,800.00","14,570.96","17,508.00","10,500.00","17,710.77"
2024-03-06,25,BOKD86,900.00,900.00,900.00,900.00,25,"22,500",1,900.00(-4) ,904.00,900.00,906.00,740.10,"1,440.00"
2024-03-06,26,BPCL,309.00,315.00,315.50,308.00,"7,797","2,424,348.5",99,309.00(-2) ,311.00,310.93,365.00,292.10,"10,534.01"
2024-03-06,27,BPW,"1,141.50","1,200.00","1,200.00","1,140.10","1,900","2,213,304.8",56,"1,141.50(-35.8) ","1,177.30","1,164.89","1,718.00",233.10,342.45
2024-03-06,28,C30MF,8.27,8.11,8.27,8.11,300,"2,465",2,8.27(0.02) ,8.25,8.21,10.00,7.61,620.85
2024-03-06,29,CBBL,817.00,802.00,831.00,802.00,"7,042","5,809,908",140,817.00(1) ,816.00,825.03,"1,052.50",727.00,"24,323.50"
2024-03-06,30,CBLD88,"1,003.00","1,002.00","1,003.00","1,002.00",75,"75,175",2,"1,003.00(-2) ","1,005.00","1,002.33","1,024.00",824.10,-
2024-03-06,31,CCBD88,"1,002.20","1,005.00","1,005.00","1,002.20",125,"125,345",2,"1,002.20(-2.8) ","1,005.00","1,002.76","1,022.90",819.10,-
2024-03-06,32,CFCL,334.00,333.00,339.20,325.10,"14,375","4,766,097.5",76,334.00(7) ,327.00,331.55,423.00,275.50,"3,169.24"
2024-03-06,33,CGH,825.90,815.10,840.90,808.00,"16,175","13,253,410.3",229,825.90(-1.1) ,827.00,819.37,"1,520.00",796.20,"12,670.06"
2024-03-06,34,CHCL,469.00,465.00,476.00,458.00,"46,340","21,561,485.8",264,469.00(4) ,465.00,465.28,594.00,452.10,"37,444.95"
2024-03-06,35,CHDC,958.00,953.00,980.00,938.00,"5,848","5,614,136.5",134,958.00(2.1) ,955.90,960.00,"1,217.20",681.20,"8,041.55"
2024-03-06,36,CHL,299.80,296.60,299.80,288.40,"12,493","3,674,066",69,299.80(8.6) ,291.20,294.08,343.00,194.10,"1,160.16"
2024-03-06,37,CIT,"2,109.00","2,100.00","2,119.50","2,080.00","8,136","17,102,220.3",213,"2,109.00(9.1) ","2,099.90","2,102.04","2,704.00","1,850.00","112,067.00"
2024-03-06,38,CITY,595.00,586.10,606.00,579.00,"17,089","10,095,005.5",175,595.00(9.9) ,585.10,590.73,782.50,111.10,"9,960.30"
2024-03-06,39,CKHL,624.00,601.00,640.00,598.00,"31,625","19,331,050",287,624.00(12.1) ,611.90,611.25,686.80,300.00,"2,496.00"
2024-03-06,40,CLI,437.00,434.00,445.50,428.00,"46,061","20,103,665.6",812,437.00(3) ,434.00,436.45,567.00,375.00,"17,206.88"
2024-03-06,41,CMF1,8.61,8.60,8.61,8.60,"27,000","232,364",9,8.61(0.16) ,8.45,8.60,9.40,6.96,706.02
2024-03-06,42,CMF2,7.73,7.71,7.73,7.71,301,"2,322.71",2,7.73(0.04) ,7.69,7.71,10.39,6.81,432.88
2024-03-06,43,CORBL,413.10,415.00,426.00,406.70,"19,877","8,322,201.8",89,413.10(6.1) ,407.00,418.68,475.00,277.80,"2,168.78"
2024-03-06,44,CYCL,"1,350.00","1,225.00","1,350.00","1,162.10","21,628","27,264,856.4",436,"1,350.00(100) ","1,250.00","1,260.62","1,560.00",882.00,"3,596.73"
2024-03-06,45,CZBIL,164.00,162.70,166.90,159.70,"38,364","6,327,842.4",110,164.00(-2) ,166.00,164.94,207.80,156.80,"23,289.60"
2024-03-06,46,DDBL,742.20,744.90,744.90,725.60,"3,220","2,374,233.3",50,742.20(5.2) ,737.00,737.33,913.00,606.70,"11,512.18"
2024-03-06,47,DHPL,201.90,202.00,205.00,195.20,"11,250","2,248,405.6",91,201.90(2.8) ,199.10,199.85,242.00,134.00,533.02
2024-03-06,48,DLBS,846.80,828.10,855.00,812.10,"1,912","1,603,871.4",47,846.80(1.8) ,845.00,838.84,"1,035.00",579.00,"1,127.09"
2024-03-06,49,DOLTI,401.50,357.70,401.50,350.60,"84,337","32,291,398.8",436,401.50(36.5) ,365.00,382.88,450.00,177.40,"2,153.99"
2024-03-06,50,DORDI,455.00,460.00,485.00,434.00,"36,876","16,738,165.1",348,455.00(-13) ,468.00,453.90,576.00,191.60,"4,796.88"
2024-03-06,51,EBL,509.00,517.00,517.00,502.20,"23,145","11,731,310.7",115,509.00(1.2) ,507.80,506.86,633.00,448.00,"59,898.63"
2024-03-06,52,EBLD85,"1,008.00","1,015.00","1,035.30","1,015.00","1,272","1,315,692.8",4,"1,008.00(-27) ","1,035.00","1,034.34","1,053.60",976.10,-
2024-03-06,53,EDBL,348.00,349.00,352.00,335.40,"20,851","7,200,763.5",46,348.00(5.8) ,342.20,345.34,399.70,266.40,"4,348.94"
2024-03-06,54,EHPL,448.00,432.00,460.00,427.00,"3,500","1,532,638.2",84,448.00(8) ,440.00,437.89,500.00,273.00,"2,777.60"
2024-03-06,55,ENL,770.00,775.70,790.00,755.00,"2,186","1,679,187",65,770.00(4.3) ,765.70,768.15,"1,060.00",572.00,"4,278.12"
2024-03-06,56,FMDBL,597.90,597.00,599.00,577.00,"7,441","4,390,497.6",80,597.90(4.9) ,593.00,590.04,781.00,497.20,"7,377.05"
2024-03-06,57,FOWAD,"1,018.00","1,006.00","1,026.00",995.00,"2,932","2,967,396.1",48,"1,018.00(12) ","1,006.00","1,012.07","1,493.00",974.00,"10,745.64"
2024-03-06,58,GBBD85,903.00,903.00,903.00,903.00,165,"148,995",4,903.00(0) ,903.00,903.00,"1,000.00",751.00,-
2024-03-06,59,GBBL,361.20,362.60,369.00,360.20,"23,145","8,416,009",171,361.20(-1.4) ,362.60,363.62,432.40,336.00,"20,518.03"
2024-03-06,60,GBIME,186.00,186.10,188.80,183.00,"27,772","5,164,539",257,186.00(-0.1) ,186.10,185.96,241.90,176.00,"67,199.51"
2024-03-06,61,GBLBS,533.10,539.00,551.00,521.20,"2,360","1,262,383.5",41,533.10(3.1) ,530.00,534.90,673.00,427.00,"5,237.71"
2024-03-06,62,GCIL,544.90,525.00,550.00,521.30,"241,252","129,458,221.9","1,902",544.90(18.1) ,526.80,536.60,614.00,363.10,"24,889.32"
2024-03-06,63,GFCL,444.00,435.00,445.00,427.10,"13,466","5,863,371.7",66,444.00(6.3) ,437.70,435.42,530.00,375.00,"4,200.75"
2024-03-06,64,GHL,152.00,150.50,156.00,147.50,"172,763","26,208,097.4",606,152.00(1.5) ,150.50,151.69,286.00,120.00,"2,508.00"
2024-03-06,65,GIBF1,8.18,8.49,8.49,8.17,"1,200","9,918",12,8.18(-0.48) ,8.66,8.26,9.70,7.20,839.07
2024-03-06,66,GILB,796.10,810.90,860.40,779.10,"2,580","2,085,123.9",72,796.10(-14.8) ,810.90,808.18,"1,110.70",665.10,"4,927.06"
2024-03-06,67,GLBSL,950.00,975.10,975.10,932.00,627,"596,922",19,950.00(-45) ,995.00,952.02,"1,105.00",589.10,963.30
2024-03-06,68,GLH,213.00,217.40,220.00,210.20,"50,991","10,904,800.5",208,213.00(-0.2) ,213.20,213.85,319.00,194.60,"3,834.00"
2024-03-06,69,GMFBS,860.00,834.00,867.90,817.40,996,"825,148",21,860.00(9) ,851.00,828.46,922.00,641.00,"1,303.37"
2024-03-06,70,GMFIL,354.80,353.90,356.00,343.00,"6,273","2,197,462.5",48,354.80(5.8) ,349.00,350.30,427.00,277.00,"3,591.20"
2024-03-06,71,GRDBL,365.00,341.10,365.90,341.00,"17,050","6,041,915.5",116,365.00(17) ,348.00,354.36,393.60,235.50,"1,894.35"
2024-03-06,72,GUFL,668.00,605.90,668.00,585.00,"99,214","61,847,776.9",557,668.00(50) ,618.00,623.37,668.30,454.00,"5,798.20"
2024-03-06,73,GVL,435.00,425.00,443.00,423.00,"13,051","5,636,923.9",192,435.00(5) ,430.00,431.91,498.00,299.90,"13,593.75"
2024-03-06,74,GWFD83,"1,100.00","1,110.00","1,110.00","1,100.00",100,"110,600",5,"1,100.00(0) ","1,100.00","1,106.00","1,147.50",999.80,-
2024-03-06,75,H8020,9.35,8.80,9.35,8.80,650,"5,867",6,9.35(0.41) ,8.94,9.02,10.10,8.30,93.50
2024-03-06,76,HATHY,869.00,848.00,886.00,842.00,"52,300","45,119,813",581,869.00(5.1) ,863.90,862.71,"1,123.00",279.50,"22,368.06"
2024-03-06,77,HBL,191.00,194.00,194.00,189.00,"36,268","6,927,097",122,191.00(0.1) ,190.90,190.99,270.20,184.00,"41,364.14"
2024-03-06,78,HDHPC,142.80,144.00,146.00,139.20,"139,035","19,859,245.4",523,142.80(-0.7) ,143.50,142.83,233.40,116.00,"3,998.40"
