Date,SN,Symbol ,Close Price* (Rs) ,Open Price (Rs) ,High Price (Rs) ,Low Price (Rs) ,Total Traded Quantity ,Total Traded Value ,Total Trades ,LTP ,Previous Day Close Price (Rs) ,Average Traded Price (Rs) ,52 Week High (Rs) ,52 Week Low (Rs) ,MarketCapitalization (Rs) (Amt in millions) 
2024-03-18,1,ACLBSL,675.00,670.00,683.00,670.00,"4,208","2,839,215.2",63,675.00(-2.1) ,677.10,674.71,716.30,500.10,"2,478.22"
2024-03-18,2,ADBL,235.00,239.70,239.70,234.00,"21,615","5,097,592.9",160,235.00(0) ,235.00,235.83,275.00,223.00,"31,611.43"
2024-03-18,3,ADBLD83,"1,028.00","1,028.00","1,028.00","1,028.00",20,"20,560",1,"1,028.00(18) ","1,010.00","1,028.00","1,144.00",892.20,-
2024-03-18,4,AHL,446.90,429.00,447.00,429.00,"5,599","2,470,595.6",103,446.90(11.9) ,435.00,441.25,504.00,273.10,"1,519.46"
2024-03-18,5,AHPC,184.20,185.00,186.50,181.50,"36,203","6,643,070.3",224,184.20(1.2) ,183.00,183.49,316.00,176.00,"6,881.57"
2024-03-18,6,AKJCL,222.00,225.00,225.00,221.00,"19,783","4,403,621.4",130,222.00(0) ,222.00,222.59,250.00,141.30,"1,776.00"
2024-03-18,7,AKPL,186.40,186.00,187.80,183.00,"51,269","9,516,736.9",254,186.40(1.2) ,185.20,185.62,417.00,152.40,"7,262.04"
2024-03-18,8,ALBSL,696.60,680.00,698.00,680.00,"3,173","2,175,451.9",102,696.60(11.6) ,685.00,685.61,903.10,543.00,"4,469.50"
2024-03-18,9,ALICL,580.00,570.20,587.00,570.20,"13,175","7,644,976",111,580.00(0) ,580.00,580.26,812.00,517.50,"19,719.05"
2024-03-18,10,ANLB,"2,217.00","2,200.00","2,255.00","2,120.00","5,300","11,621,906",59,"2,217.00(-20.9) ","2,237.90","2,192.81","2,651.00",403.80,"1,520.24"
2024-03-18,11,API,186.50,190.60,190.60,183.50,"44,837","8,344,899.6",285,186.50(-0.4) ,186.90,186.11,269.00,154.70,"10,792.01"
2024-03-18,12,AVYAN,644.80,630.00,654.00,630.00,"6,703","4,300,439.7",137,644.80(4.8) ,640.00,641.56,807.80,549.00,"1,612.00"
2024-03-18,13,BARUN,247.60,250.00,250.00,245.00,"18,296","4,510,505.4",87,247.60(0.6) ,247.00,246.52,299.00,191.10,"1,326.68"
2024-03-18,14,BBC,"3,894.00","3,850.00","3,894.00","3,845.00",446,"1,719,577.4",18,"3,894.00(-5.8) ","3,899.80","3,855.55","4,539.00","3,050.00","1,913.51"
2024-03-18,15,BEDC,345.50,340.00,357.80,340.00,"8,288","2,867,769.8",152,345.50(1.5) ,344.00,346.01,412.90,170.00,"1,879.70"
2024-03-18,16,BFC,349.10,351.80,352.00,346.00,"21,322","7,465,923",100,349.10(1.1) ,348.00,350.15,377.00,284.00,"2,984.17"
2024-03-18,17,BGWT,602.00,581.10,645.70,581.10,"8,966","5,408,493.5",170,602.00(15) ,587.00,603.22,710.00,352.00,"3,443.83"
2024-03-18,18,BHDC,475.00,465.50,475.40,460.00,"6,853","3,226,819.2",89,475.00(0) ,475.00,470.86,523.00,286.50,"4,987.50"
2024-03-18,19,BHL,342.00,343.70,350.30,332.00,"6,770","2,291,258",142,342.00(5) ,337.00,338.44,394.00,192.70,"6,251.66"
2024-03-18,20,BHPL,485.00,471.00,485.00,471.00,"1,315","629,082",47,485.00(8.5) ,476.50,478.38,569.50,304.10,"1,212.50"
2024-03-18,21,BNHC,500.00,483.00,522.00,480.00,"33,172","16,668,275.2",392,500.00(20) ,480.00,502.48,522.00,270.10,"2,000.00"
2024-03-18,22,BNT,"13,500.00","13,490.00","13,945.00","13,400.00",976,"13,189,895",33,"13,500.00(10) ","13,490.00","13,514.23","17,508.00","10,500.00","16,335.00"
2024-03-18,23,BPCL,309.20,309.00,313.90,308.00,"5,398","1,670,969.6",63,309.20(-0.8) ,310.00,309.55,365.00,292.10,"10,540.83"
2024-03-18,24,C30MF,9.15,8.80,9.15,8.80,"37,300","335,843",13,9.15(0.35) ,8.80,9.00,10.00,7.61,686.91
2024-03-18,25,CBBL,860.00,858.00,867.00,851.00,"7,437","6,380,548",135,860.00(-3) ,863.00,857.94,"1,052.50",727.00,"25,603.68"
2024-03-18,26,CBLD88,"1,024.00","1,005.00","1,024.00","1,005.00",155,"156,937.5",6,"1,024.00(13.9) ","1,010.10","1,012.50","1,024.00",824.10,-
2024-03-18,27,CCBD88,"1,011.00","1,010.00","1,011.00","1,010.00",105,"106,082",5,"1,011.00(-6) ","1,017.00","1,010.30","1,022.90",831.00,-
2024-03-18,28,CFCL,341.70,350.00,350.00,341.30,"11,221","3,878,289",87,341.70(-2.4) ,344.10,345.62,423.00,275.50,"3,242.31"
2024-03-18,29,CGH,832.00,843.50,843.50,820.20,"11,930","9,910,682.3",138,832.00(5) ,827.00,830.73,"1,520.00",796.20,"12,763.64"
2024-03-18,30,CHCL,469.00,465.00,470.00,464.20,"18,822","8,776,782.6",157,469.00(-0.9) ,469.90,466.30,594.00,452.10,"37,444.95"
2024-03-18,31,CHDC,951.20,945.10,960.00,945.10,"3,200","3,049,538.5",103,951.20(0.6) ,950.60,952.98,"1,217.20",681.20,"7,984.47"
2024-03-18,32,CHL,294.20,292.00,298.00,290.00,"9,759","2,874,618.9",67,294.20(2.2) ,292.00,294.56,337.00,194.10,"1,138.49"
2024-03-18,33,CIT,"2,125.00","2,121.20","2,150.00","2,121.00","5,653","12,040,554.9",157,"2,125.00(-9.5) ","2,134.50","2,129.94","2,704.00","1,850.00","112,917.20"
2024-03-18,34,CITY,605.00,605.00,610.00,598.10,"7,743","4,656,021",136,605.00(4.9) ,600.10,601.32,782.50,111.10,"10,127.70"
2024-03-18,35,CKHL,619.00,613.00,626.00,611.10,"13,786","8,495,540.3",187,619.00(-4.5) ,623.50,616.24,686.80,300.00,"2,476.00"
2024-03-18,36,CLI,469.00,460.50,470.00,460.00,"46,064","21,349,711",941,469.00(1.8) ,467.20,463.47,567.00,375.00,"18,466.88"
