Date,SN,Symbol ,Close Price* (Rs) ,Open Price (Rs) ,High Price (Rs) ,Low Price (Rs) ,Total Traded Quantity ,Total Traded Value ,Total Trades ,LTP ,Previous Day Close Price (Rs) ,Average Traded Price (Rs) ,52 Week High (Rs) ,52 Week Low (Rs) ,MarketCapitalization (Rs) (Amt in millions) 
2024-03-27,1,ACLBSL,720.00,740.00,740.00,712.00,"3,266","2,346,919.7",63,720.00(-19.5) ,739.50,718.59,783.20,500.10,"2,643.43"
2024-03-27,2,ADBL,230.10,233.50,234.40,228.50,"35,243","8,108,945.8",187,230.10(-3.4) ,233.50,230.08,275.00,223.00,"30,952.30"
2024-03-27,3,ADBLD83,"1,030.00","1,030.00","1,030.00","1,030.00",100,"103,000",1,"1,030.00(-10) ","1,040.00","1,030.00","1,144.00",915.00,-
2024-03-27,4,AHL,455.10,448.00,460.00,431.10,"40,280","18,141,101.7",274,455.10(15.1) ,440.00,450.37,504.00,273.10,"1,547.34"
2024-03-27,5,AHPC,176.30,178.00,179.40,176.00,"31,085","5,512,127.6",179,176.30(-0.9) ,177.20,177.32,316.00,175.00,"6,586.44"
2024-03-27,6,AKJCL,215.00,216.00,220.00,215.00,"23,690","5,139,234",128,215.00(-4) ,219.00,216.93,250.00,141.30,"1,720.00"
2024-03-27,7,AKPL,178.50,178.50,180.00,177.00,"36,373","6,490,081.2",219,178.50(0) ,178.50,178.43,417.00,152.40,"6,954.26"
2024-03-27,8,ALBSL,725.00,725.00,739.50,711.10,"10,056","7,269,586.8",119,725.00(-7.8) ,732.80,722.91,903.10,543.00,"4,651.72"
2024-03-27,9,ALICL,559.90,568.00,569.80,559.00,"12,872","7,232,994.9",87,559.90(-7.1) ,567.00,561.91,812.00,517.50,"19,035.68"
2024-03-27,10,ANLB,"1,980.00","1,980.00","1,980.00","1,980.00",70,"138,600",4,"1,980.00(-12) ","1,992.00","1,980.00","2,651.00",403.80,"1,357.72"
2024-03-27,11,API,179.50,182.50,182.50,179.00,"76,228","13,792,336.1",316,179.50(0.5) ,179.00,180.93,268.20,154.70,"10,386.94"
2024-03-27,12,AVYAN,642.20,652.00,666.00,642.00,"6,890","4,479,691.5",96,642.20(-17.8) ,660.00,650.17,807.80,549.00,"1,605.50"
2024-03-27,13,BARUN,237.90,246.80,246.80,237.60,"38,685","9,278,289.6",88,237.90(-5.2) ,243.10,239.84,299.00,191.10,"1,274.70"
2024-03-27,14,BBC,"3,839.90","3,802.00","3,839.90","3,751.00",724,"2,724,301.8",18,"3,839.90(39.9) ","3,800.00","3,762.84","4,539.00","3,050.00","1,886.93"
2024-03-27,15,BEDC,355.00,351.00,360.00,349.90,"9,878","3,504,805.9",155,355.00(4.5) ,350.50,354.80,412.90,170.00,"1,931.39"
2024-03-27,16,BFC,342.00,355.00,355.00,339.00,"16,701","5,731,959.5",145,342.00(-8) ,350.00,343.21,377.00,284.00,"2,923.47"
2024-03-27,17,BGWT,618.00,630.00,630.00,605.10,"11,470","7,061,541.2",114,618.00(-1.1) ,619.10,615.65,710.00,352.00,"3,535.36"
2024-03-27,18,BHDC,465.00,453.10,470.00,453.10,"2,130","972,726",62,465.00(3) ,462.00,456.67,523.00,286.50,"4,882.50"
2024-03-27,19,BHL,369.00,350.00,370.20,350.00,"45,375","16,461,492.1",332,369.00(15.1) ,353.90,362.78,394.00,192.70,"6,745.21"
2024-03-27,20,BHPL,483.00,491.00,501.00,477.10,"2,444","1,183,290",49,483.00(-1) ,484.00,484.16,569.50,304.10,"1,207.50"
2024-03-27,21,BNHC,480.10,506.00,506.00,478.30,"15,944","7,688,823.9",188,480.10(-16.9) ,497.00,482.23,617.00,270.10,"1,920.40"
2024-03-27,22,BNL,"18,360.00","18,200.00","18,360.00","18,000.00",80,"1,452,510",7,"18,360.00(-183.6) ","18,543.60","18,156.37","23,765.60","2,222.20","35,781.57"
2024-03-27,23,BNT,"13,186.00","13,650.00","13,680.00","13,186.00",190,"2,552,100",17,"13,186.00(-414) ","13,600.00","13,432.10","17,508.00","10,500.00","15,955.06"
2024-03-27,24,BPCL,304.00,308.00,308.00,304.00,"7,561","2,304,041.1",76,304.00(-1.1) ,305.10,304.72,365.00,292.10,"10,363.56"
2024-03-27,25,C30MF,9.30,9.45,9.45,9.30,"15,000","140,250",6,9.30(0.03) ,9.27,9.35,10.00,7.61,698.17
2024-03-27,26,CBBL,839.00,858.90,858.90,837.50,"5,267","4,439,789.9",104,839.00(-7) ,846.00,842.94,"1,052.50",756.00,"24,978.47"
2024-03-27,27,CBLD88,"1,008.00","1,005.10","1,008.00","1,005.00",150,"150,905",3,"1,008.00(-2.7) ","1,010.70","1,006.03","1,024.00",824.30,-
2024-03-27,28,CCBD88,"1,016.00","1,016.10","1,016.10","1,016.00",70,"71,125",2,"1,016.00(1) ","1,015.00","1,016.07","1,022.90",835.10,-
2024-03-27,29,CFCL,345.00,357.00,357.00,344.00,"11,510","3,990,887",84,345.00(-5.1) ,350.10,346.73,423.00,275.50,"3,273.62"
2024-03-27,30,CGH,820.10,820.00,828.00,819.00,"7,117","5,845,127.3",118,820.10(-2.9) ,823.00,821.29,"1,520.00",796.20,"12,581.08"
2024-03-27,31,CHCL,458.60,460.00,462.00,458.00,"18,235","8,378,069",150,458.60(-1.4) ,460.00,459.44,594.00,452.10,"36,614.61"
2024-03-27,32,CHDC,920.00,950.00,950.00,910.10,"7,196","6,634,477.3",97,920.00(-16) ,936.00,921.96,"1,217.20",681.20,"7,722.57"
2024-03-27,33,CHL,293.00,295.00,295.00,289.10,"3,416","991,611.9",35,293.00(-2) ,295.00,290.28,332.00,194.10,"1,133.84"
2024-03-27,34,CIT,"2,105.00","2,145.00","2,145.00","2,105.00","5,766","12,170,101.8",119,"2,105.00(-10) ","2,115.00","2,110.66","2,704.00","1,850.00","111,854.45"
2024-03-27,35,CITY,597.00,619.90,619.90,596.00,"2,846","1,706,211",79,597.00(-11.8) ,608.80,599.51,782.50,111.10,"9,993.78"
2024-03-27,36,CKHL,586.00,595.00,600.00,584.50,"21,537","12,729,866.1",218,586.00(-21) ,607.00,591.06,686.80,300.00,"2,344.00"
2024-03-27,37,CLI,445.00,442.00,452.50,442.00,"27,297","12,204,029.4",602,445.00(-6) ,451.00,447.08,567.00,375.00,"17,521.88"
2024-03-27,38,CMF1,9.20,9.14,9.20,9.14,"92,190","848,028",14,9.20(0.06) ,9.14,9.19,9.40,6.96,754.40
2024-03-27,39,CMF2,7.90,7.82,7.97,7.82,"3,200","25,095",8,7.90(-0.07) ,7.97,7.84,10.39,6.81,442.40
2024-03-27,40,CORBL,443.00,443.70,450.00,435.90,"5,675","2,516,175.5",45,443.00(8) ,435.00,443.37,475.00,277.80,"2,325.75"
2024-03-27,41,CYCL,"1,397.00","1,381.80","1,492.00","1,318.20","10,627","14,557,165.1",236,"1,397.00(-13) ","1,410.00","1,369.82","1,560.00",882.00,"3,721.95"
2024-03-27,42,CZBIL,159.50,162.00,162.00,159.00,"32,371","5,162,254.6",132,159.50(-2) ,161.50,159.47,207.80,156.80,"22,650.55"
2024-03-27,43,CZBILP,102.00,102.00,102.00,102.00,"70,490","7,189,980",2,102.00(2) ,100.00,102.00,102.00,100.00,1.02
2024-03-27,44,DDBL,797.70,814.90,814.90,797.70,"20,040","16,040,388.1",323,797.70(-1.3) ,799.00,800.41,913.00,606.70,"12,373.03"
2024-03-27,45,DHPL,195.60,201.00,202.00,194.40,"9,511","1,875,658.6",40,195.60(-2.4) ,198.00,197.20,242.00,134.00,516.38
2024-03-27,46,DLBS,"1,454.00","1,371.70","1,454.00","1,259.70","26,547","34,565,111.1",438,"1,454.00(54.4) ","1,399.60","1,302.03","1,544.00",579.00,"1,935.27"
2024-03-27,47,DOLTI,430.00,435.00,452.00,418.40,"102,901","45,171,151.2",797,430.00(-0.1) ,430.10,438.97,452.00,177.40,"2,306.89"
2024-03-27,48,DORDI,470.00,465.00,474.00,461.00,"91,293","42,679,912.8",697,470.00(5) ,465.00,467.50,576.00,191.60,"4,955.02"
2024-03-27,49,EBL,505.00,507.90,508.00,502.50,"23,873","12,065,071.1",118,505.00(-1.3) ,506.30,505.38,633.00,448.00,"59,427.92"
2024-03-27,50,EBLD85,"1,016.20","1,016.20","1,016.20","1,016.20",100,"101,620",1,"1,016.20(-20.4) ","1,036.60","1,016.20","1,057.68",976.10,-
2024-03-27,51,EBLD86,906.00,906.00,906.00,906.00,50,"45,300",1,906.00(4) ,902.00,906.00,920.00,752.00,-
2024-03-27,52,EDBL,357.00,354.30,360.00,352.90,"9,008","3,207,542.6",45,357.00(-1) ,358.00,356.07,399.70,266.40,"4,461.41"
2024-03-27,53,EHPL,474.00,450.00,478.40,435.00,"56,009","26,061,110.8",414,474.00(32) ,442.00,465.30,500.00,273.00,"2,938.80"
2024-03-27,54,ENL,764.00,761.00,784.80,761.00,"1,491","1,146,920",29,764.00(-8) ,772.00,769.22,"1,060.00",572.00,"4,244.78"
2024-03-27,55,FMDBL,612.90,626.20,626.20,608.00,"11,102","6,793,109",120,612.90(-1.1) ,614.00,611.88,781.00,497.20,"7,562.13"
2024-03-27,56,FOWAD,"1,095.00","1,117.80","1,117.90","1,085.00","2,396","2,612,893.2",54,"1,095.00(-1) ","1,096.00","1,090.52","1,493.00",974.00,"11,558.42"
2024-03-27,57,GBBD85,920.00,916.30,920.00,916.30,80,"73,462",4,920.00(2) ,918.00,918.27,"1,000.00",768.10,-
