Date,SN,Symbol ,Close Price* (Rs) ,Open Price (Rs) ,High Price (Rs) ,Low Price (Rs) ,Total Traded Quantity ,Total Traded Value ,Total Trades ,LTP ,Previous Day Close Price (Rs) ,Average Traded Price (Rs) ,52 Week High (Rs) ,52 Week Low (Rs) ,MarketCapitalization (Rs) (Amt in millions) 
2024-03-28,1,ACLBSL,721.90,708.10,722.00,703.00,"7,137","5,062,723",70,721.90(1.9) ,720.00,709.36,783.20,500.10,"2,650.41"
2024-03-28,2,ADBL,230.00,234.70,234.70,228.40,"17,792","4,089,951.5",134,230.00(-0.1) ,230.10,229.87,275.00,223.00,"30,938.85"
2024-03-28,3,ADBLD83,"1,035.00","1,035.00","1,035.00","1,035.00",25,"25,875",1,"1,035.00(5) ","1,030.00","1,035.00","1,144.00",915.00,-
2024-03-28,4,AHL,455.00,464.00,464.00,444.10,"7,365","3,332,336.5",138,455.00(-0.1) ,455.10,452.45,504.00,273.10,"1,547.00"
2024-03-28,5,AHPC,177.30,179.00,179.00,174.00,"24,520","4,324,743.8",194,177.30(1) ,176.30,176.37,316.00,174.00,"6,623.80"
2024-03-28,6,AKJCL,216.10,213.00,220.00,213.00,"22,814","4,930,745.6",136,216.10(1.1) ,215.00,216.12,250.00,141.30,"1,728.80"
2024-03-28,7,AKPL,177.60,178.50,179.90,176.40,"48,619","8,629,490",237,177.60(-0.9) ,178.50,177.49,417.00,152.40,"6,919.19"
2024-03-28,8,ALBSL,712.20,711.00,729.00,710.00,"6,239","4,498,523.2",94,712.20(-12.8) ,725.00,721.03,903.10,543.00,"4,569.59"
2024-03-28,9,ALICL,562.00,550.70,562.00,550.70,"10,859","6,063,934.3",100,562.00(2.1) ,559.90,558.42,812.00,517.50,"19,107.08"
2024-03-28,10,ANLB,"1,982.00","1,979.00","2,019.00","1,973.60","1,465","2,918,513",33,"1,982.00(2) ","1,980.00","1,992.15","2,651.00",403.80,"1,359.09"
2024-03-28,11,API,178.50,183.00,183.00,177.90,"82,530","14,738,403.5",387,178.50(-1) ,179.50,178.58,268.20,154.70,"10,329.08"
2024-03-28,12,AVYAN,649.90,633.00,665.00,633.00,"7,507","4,834,526.7",139,649.90(7.7) ,642.20,644.00,807.80,549.00,"1,624.75"
2024-03-28,13,BARUN,244.00,241.00,245.00,237.20,"21,517","5,187,163.1",84,244.00(6.1) ,237.90,241.07,299.00,191.10,"1,307.39"
2024-03-28,14,BBC,"3,830.00","3,772.50","3,830.00","3,772.00",56,"211,825",4,"3,830.00(-9.9) ","3,839.90","3,782.58","4,539.00","3,050.00","1,882.06"
2024-03-28,15,BEDC,366.00,350.10,376.30,350.10,"29,424","10,716,959.9",291,366.00(11) ,355.00,364.22,412.90,170.00,"1,991.24"
2024-03-28,16,BFC,341.90,336.00,348.00,336.00,"10,992","3,751,787.7",75,341.90(-0.1) ,342.00,341.31,377.00,284.00,"2,922.62"
2024-03-28,17,BGWT,615.00,607.00,616.70,603.00,"6,507","3,988,962.3",91,615.00(-3) ,618.00,613.02,710.00,352.00,"3,518.20"
2024-03-28,18,BHDC,469.00,460.00,472.20,451.50,"1,100","504,762",67,469.00(4) ,465.00,458.87,523.00,286.50,"4,924.50"
2024-03-28,19,BHL,364.00,362.00,373.00,361.40,"21,472","7,889,409.5",201,364.00(-5) ,369.00,367.42,394.00,192.70,"6,653.81"
2024-03-28,20,BHPL,479.20,475.10,485.50,475.10,"1,793","867,367",32,479.20(-3.8) ,483.00,483.75,569.50,304.10,"1,198.00"
2024-03-28,21,BNHC,490.00,473.00,493.60,473.00,"24,760","11,917,226.5",177,490.00(9.9) ,480.10,481.30,617.00,270.10,"1,960.00"
2024-03-28,22,BNL,"18,300.00","18,500.00","18,727.20","18,300.00",89,"1,639,597",8,"18,300.00(-60) ","18,360.00","18,422.43","23,765.60","2,222.20","35,664.63"
2024-03-28,23,BNT,"13,100.00","13,330.00","13,496.00","13,100.00",452,"5,973,416",40,"13,100.00(-86) ","13,186.00","13,215.52","17,508.00","10,500.00","15,851.00"
2024-03-28,24,BPCL,305.00,301.10,306.50,301.10,"4,274","1,297,880.5",68,305.00(1) ,304.00,303.66,365.00,292.10,"10,397.65"
2024-03-28,25,C30MF,9.20,9.12,9.20,9.12,"5,300","48,737",8,9.20(-0.1) ,9.30,9.19,10.00,7.61,690.67
2024-03-28,26,CBBL,835.00,845.00,847.00,830.50,"8,876","7,415,123.1",165,835.00(-4) ,839.00,835.41,"1,052.50",756.00,"24,859.39"
2024-03-28,27,CBLD88,"1,015.00","1,015.00","1,015.00","1,015.00",25,"25,375",1,"1,015.00(7) ","1,008.00","1,015.00","1,024.00",824.30,-
2024-03-28,28,CFCL,347.00,344.00,351.00,339.00,"11,858","4,102,666.8",64,347.00(2) ,345.00,345.98,423.00,275.50,"3,292.60"
2024-03-28,29,CGH,818.20,825.00,827.00,814.10,"9,133","7,473,574.6",133,818.20(-1.9) ,820.10,818.30,"1,520.00",796.20,"12,551.93"
2024-03-28,30,CHCL,462.00,457.30,463.00,456.50,"24,217","11,125,868.2",175,462.00(3.4) ,458.60,459.42,594.00,452.10,"36,886.07"
2024-03-28,31,CHDC,938.00,911.60,938.00,900.10,"10,713","9,763,205.3",173,938.00(18) ,920.00,911.34,"1,217.20",681.20,"7,873.67"
2024-03-28,32,CHL,290.00,296.80,296.80,288.10,"4,501","1,315,238.6",42,290.00(-3) ,293.00,292.21,332.00,194.10,"1,122.23"
2024-03-28,33,CIT,"2,129.00","2,105.00","2,145.00","2,105.00","11,608","24,692,871.7",209,"2,129.00(24) ","2,105.00","2,127.22","2,704.00","1,850.00","113,129.75"
2024-03-28,34,CITY,593.40,592.00,605.00,592.00,"5,390","3,214,029",110,593.40(-3.6) ,597.00,596.29,782.50,111.10,"9,933.52"
2024-03-28,35,CIZBD86,"1,015.00","1,015.00","1,015.00","1,015.00",25,"25,375",1,"1,015.00(7) ","1,008.00","1,015.00","1,040.00",950.00,-
2024-03-28,36,CKHL,581.00,575.30,592.00,575.20,"10,280","6,004,483",263,581.00(-5) ,586.00,584.09,686.80,300.00,"2,324.00"
2024-03-28,37,CLI,453.90,442.00,456.00,442.00,"23,759","10,679,443.2",917,453.90(8.9) ,445.00,449.49,567.00,375.00,"17,872.31"
2024-03-28,38,CMF1,9.38,9.20,9.38,9.20,"80,558","754,638.04",7,9.38(0.18) ,9.20,9.36,9.40,6.96,769.16
2024-03-28,39,CMF2,7.90,7.76,7.90,7.76,"2,425","19,093",5,7.90(0) ,7.90,7.87,10.39,6.81,442.40
2024-03-28,40,CORBL,435.10,435.00,448.40,435.00,"5,025","2,214,782.5",41,435.10(-7.9) ,443.00,440.75,475.00,277.80,"2,284.28"
2024-03-28,41,CYCL,"1,389.90","1,369.10","1,396.30","1,335.00","5,019","6,901,177.5",226,"1,389.90(-7.1) ","1,397.00","1,375.01","1,560.00",882.00,"3,703.03"
2024-03-28,42,CZBIL,160.50,159.50,161.00,159.00,"24,043","3,842,558.1",137,160.50(1) ,159.50,159.82,207.80,156.80,"22,792.56"
2024-03-28,43,DDBL,709.00,726.00,730.00,709.00,"15,296","10,925,958.9",204,709.00(-16.18) ,725.18,714.30,913.00,606.70,"12,096.94"
2024-03-28,44,DHPL,194.00,193.00,203.80,193.00,"8,118","1,594,624.9",53,194.00(-1.6) ,195.60,196.43,242.00,134.00,512.16
2024-03-28,45,DLBS,"1,308.60","1,483.00","1,483.00","1,308.60","8,222","10,818,780.7",256,"1,308.60(-145.4) ","1,454.00","1,315.83","1,544.00",579.00,"1,741.75"
2024-03-28,46,DOLTI,437.90,426.00,448.00,422.00,"39,644","17,309,860.9",369,437.90(7.9) ,430.00,436.63,452.00,177.40,"2,349.27"
2024-03-28,47,DORDI,455.00,479.00,479.00,454.00,"33,263","15,312,687.1",380,455.00(-15) ,470.00,460.35,576.00,191.60,"4,796.88"
2024-03-28,48,EBL,503.70,504.50,508.80,503.00,"23,558","11,902,101.6",129,503.70(-1.3) ,505.00,505.22,633.00,448.00,"59,274.93"
2024-03-28,49,EBLD85,"1,015.00","1,015.00","1,015.00","1,015.00",25,"25,375",1,"1,015.00(-1.2) ","1,016.20","1,015.00","1,057.68",976.10,-
2024-03-28,50,EDBL,357.00,350.50,360.90,350.50,"4,994","1,775,892.5",28,357.00(0) ,357.00,355.60,399.70,266.40,"4,461.41"
2024-03-28,51,EHPL,469.40,474.00,480.00,460.70,"8,694","4,085,926.9",109,469.40(-4.6) ,474.00,469.97,500.00,273.00,"2,910.28"
2024-03-28,52,ENL,765.00,753.90,768.90,753.90,824,"629,939",25,765.00(1) ,764.00,764.48,"1,060.00",572.00,"4,250.34"
2024-03-28,53,FMDBL,610.00,610.00,616.00,606.00,"10,109","6,165,012.5",111,610.00(-2.9) ,612.90,609.85,781.00,497.20,"7,526.34"
2024-03-28,54,FOWAD,"1,090.00","1,095.00","1,097.00","1,081.00","2,857","3,110,476.4",49,"1,090.00(-5) ","1,095.00","1,088.72","1,493.00",974.00,"11,505.65"
2024-03-28,55,GBBD85,925.20,925.00,925.20,925.00,75,"69,380",4,925.20(5.2) ,920.00,925.06,"1,000.00",768.10,-
2024-03-28,56,GBBL,369.90,366.00,372.00,365.50,"11,179","4,123,445.8",94,369.90(-0.1) ,370.00,368.85,432.40,336.00,"21,012.23"
2024-03-28,57,GBD80/81,"1,015.00","1,015.00","1,015.00","1,015.00",25,"25,375",2,"1,015.00(5) ","1,010.00","1,015.00","1,075.00",973.60,"104,651.74"
2024-03-28,58,GBILD86/87,902.10,902.10,902.10,902.10,25,"22,552.5",1,902.10(-0.9) ,903.00,902.10,917.50,743.90,-
2024-03-28,59,GBIME,181.90,186.50,186.50,181.00,"45,881","8,353,715.5",350,181.90(-1) ,182.90,182.07,241.90,176.00,"65,718.23"
2024-03-28,60,GBLBS,619.00,615.00,622.20,607.00,"7,786","4,802,739.6",79,619.00(8.8) ,610.20,616.84,673.00,427.00,"6,081.68"
2024-03-28,61,GCIL,520.00,502.80,529.90,502.80,"87,342","45,600,621.4","1,101",520.00(7) ,513.00,522.09,614.00,363.10,"23,751.97"
2024-03-28,62,GFCL,460.00,461.00,462.00,453.20,"8,279","3,788,571.1",50,460.00(0) ,460.00,457.61,530.00,375.00,"4,352.13"
2024-03-28,63,GHL,153.00,154.90,155.00,152.10,"84,674","12,989,746.4",268,153.00(0) ,153.00,153.40,286.00,120.00,"2,524.50"
2024-03-28,64,GIBF1,8.25,8.08,8.25,8.08,"2,400","19,551",14,8.25(0.02) ,8.23,8.14,9.70,7.20,846.25
2024-03-28,65,GILB,932.50,916.00,944.00,916.00,"5,921","5,533,502.3",95,932.50(8.4) ,924.10,934.55,"1,110.70",687.00,"5,771.24"
2024-03-28,66,GLBSL,"1,317.00","1,341.90","1,359.90","1,315.10","1,805","2,392,618.6",43,"1,317.00(-24.9) ","1,341.90","1,325.55","1,536.00",589.10,"1,335.44"
2024-03-28,67,GLH,218.00,214.60,220.00,214.60,"9,911","2,152,211.7",90,218.00(0) ,218.00,217.15,318.00,194.60,"3,924.00"
2024-03-28,68,GMFBS,"1,020.00","1,038.00","1,038.00",990.00,"3,677","3,716,293.4",34,"1,020.00(1.8) ","1,018.20","1,010.68","1,100.00",641.00,"1,545.86"
2024-03-28,69,GMFIL,352.00,352.00,363.90,350.00,"9,483","3,371,794.6",40,352.00(-2) ,354.00,355.56,427.00,277.00,"3,562.86"
2024-03-28,70,GRDBL,365.10,368.00,372.00,362.00,"6,206","2,275,779.3",52,365.10(3) ,362.10,366.70,402.00,235.50,"1,966.87"
2024-03-28,71,GUFL,880.00,840.90,890.00,833.00,"186,907","161,989,558.8","1,192",880.00(22) ,858.00,866.68,946.00,454.00,"7,638.34"
2024-03-28,72,GVL,423.90,433.00,433.50,418.10,"9,288","3,913,152.3",153,423.90(-1.1) ,425.00,421.31,498.00,299.90,"13,246.88"
2024-03-28,73,GWFD83,"1,175.00","1,160.00","1,175.00","1,160.00",250,"291,700",7,"1,175.00(28) ","1,147.00","1,166.80","1,175.00","1,005.00",-
2024-03-28,74,H8020,9.18,9.66,9.66,8.87,"21,600","201,681",16,9.18(-0.67) ,9.85,9.33,10.10,8.30,91.80
2024-03-28,75,HATHY,884.00,871.00,894.90,866.10,"48,669","43,011,394.3",414,884.00(4.2) ,879.80,883.75,"1,123.00",279.50,"22,754.16"
2024-03-28,76,HBL,189.50,189.00,191.00,188.20,"16,801","3,178,126.7",116,189.50(-1.5) ,191.00,189.16,243.10,184.00,"41,039.29"
2024-03-28,77,HBLD83,999.90,"1,025.00","1,025.00",999.00,"10,200","10,450,165",4,999.90(-5.1) ,"1,005.00","1,024.52","1,083.00",971.00,-
2024-03-28,78,HBLD86,"1,020.00","1,008.00","1,020.00","1,008.00",175,"178,200",3,"1,020.00(20) ","1,000.00","1,018.28","1,020.00",938.00,-
2024-03-28,79,HDHPC,136.20,138.00,138.00,134.50,"187,474","25,401,675.9",564,136.20(-0.8) ,137.00,135.49,229.40,116.00,"3,813.60"
2024-03-28,80,HDL,"1,505.00","1,525.00","1,525.00","1,500.00","17,724","26,742,373.4",459,"1,505.00(-10.2) ","1,515.20","1,508.82","2,510.00","1,441.00","40,221.48"
2024-03-28,81,HEI,579.30,577.00,580.00,575.00,"11,282","6,514,887.3",93,579.30(-2.7) ,582.00,577.45,705.00,404.90,"14,483.41"
2024-03-28,82,HEIP,347.90,347.90,347.90,347.90,11,"3,826.9",1,347.90(-7.1) ,355.00,347.90,486.90,245.50,930.65
2024-03-28,83,HHL,383.80,359.00,388.30,342.10,"98,880","36,865,854.2",788,383.80(30.8) ,353.00,372.83,388.30,170.30,"4,202.61"
2024-03-28,84,HIDCL,168.90,170.00,170.00,168.70,"33,579","5,681,165.7",233,168.90(-0.5) ,169.40,169.18,212.00,154.00,"38,468.33"
2024-03-28,85,HIDCLP,101.50,101.50,102.70,101.00,"45,643","4,643,557.8",45,101.50(-0.8) ,102.30,101.73,118.00,96.60,10.15
2024-03-28,86,HLBSL,688.30,700.00,700.00,686.10,"5,345","3,690,275.6",48,688.30(-1.7) ,690.00,690.41,846.00,519.10,"2,201.31"
2024-03-28,87,HLI,400.50,403.90,403.90,398.20,"31,731","12,727,315.7",382,400.50(0.5) ,400.00,401.10,574.00,340.00,"32,121.64"
2024-03-28,88,HPPL,266.70,268.10,268.10,261.70,"18,803","5,009,913.7",93,266.70(-5.3) ,272.00,266.44,322.00,199.00,"2,841.47"
2024-03-28,89,HRL,604.10,602.00,610.00,601.00,"65,655","39,682,920.3","2,117",604.10(2.1) ,602.00,604.41,731.00,309.20,"62,826.40"
