Date,SN,Symbol ,Close Price* (Rs) ,Open Price (Rs) ,High Price (Rs) ,Low Price (Rs) ,Total Traded Quantity ,Total Traded Value ,Total Trades ,LTP ,Previous Day Close Price (Rs) ,Average Traded Price (Rs) ,52 Week High (Rs) ,52 Week Low (Rs) ,MarketCapitalization (Rs) (Amt in millions) 
2024-03-19,1,ACLBSL,712.00,688.50,724.00,688.50,"10,681","7,584,300.1",233,712.00(37) ,675.00,710.07,724.00,500.10,"2,614.06"
2024-03-19,2,ADBL,234.40,235.00,236.00,232.00,"24,816","5,826,880.8",110,234.40(-0.6) ,235.00,234.80,275.00,223.00,"31,530.72"
2024-03-19,3,ADBLD83,"1,031.00","1,029.00","1,031.00","1,028.00",545,"560,420",5,"1,031.00(3) ","1,028.00","1,028.29","1,144.00",892.20,-
2024-03-19,4,AHL,436.30,455.80,470.10,436.00,"9,662","4,284,581",85,436.30(-10.6) ,446.90,443.44,504.00,273.10,"1,483.42"
2024-03-19,5,AHPC,181.70,186.90,186.90,181.60,"38,048","6,959,289.6",238,181.70(-2.5) ,184.20,182.90,316.00,176.00,"6,788.18"
2024-03-19,6,AKJCL,222.00,225.00,225.00,221.00,"34,299","7,649,129.6",154,222.00(0) ,222.00,223.01,250.00,141.30,"1,776.00"
2024-03-19,7,AKPL,183.00,190.00,190.00,183.00,"66,031","12,197,551.5",313,183.00(-3.4) ,186.40,184.72,417.00,152.40,"7,129.57"
2024-03-19,8,ALBSL,720.00,683.50,724.00,683.50,"16,705","11,890,974.2",281,720.00(23.4) ,696.60,711.82,903.10,543.00,"4,619.64"
2024-03-19,9,ALICL,578.00,581.00,590.90,575.20,"13,801","8,035,195.3",130,578.00(-2) ,580.00,582.21,812.00,517.50,"19,651.05"
2024-03-19,10,ANLB,"2,200.00","2,239.00","2,254.90","2,182.00","1,370","3,060,022.5",44,"2,200.00(-17) ","2,217.00","2,233.59","2,651.00",403.80,"1,508.58"
2024-03-19,11,API,184.00,186.50,188.20,183.70,"68,803","12,780,623.4",366,184.00(-2.5) ,186.50,185.75,269.00,154.70,"10,647.34"
2024-03-19,12,AVYAN,670.00,636.00,671.20,634.50,"25,010","16,571,418.6",369,670.00(25.2) ,644.80,662.59,807.80,549.00,"1,675.00"
2024-03-19,13,BARUN,246.10,251.00,251.50,246.00,"31,347","7,790,502.2",125,246.10(-1.5) ,247.60,248.52,299.00,191.10,"1,318.64"
2024-03-19,14,BBC,"3,845.00","3,970.90","3,970.90","3,836.00",120,"466,448",9,"3,845.00(-49) ","3,894.00","3,887.06","4,539.00","3,050.00","1,889.43"
2024-03-19,15,BEDC,357.80,344.00,370.20,344.00,"13,722","4,862,667.3",215,357.80(12.3) ,345.50,354.37,412.90,170.00,"1,946.62"
2024-03-19,16,BFC,359.00,356.00,368.00,355.10,"86,435","31,278,383.1",545,359.00(9.9) ,349.10,361.87,377.00,284.00,"3,068.79"
2024-03-19,17,BGWT,657.90,608.00,657.90,591.00,"16,575","10,196,983.5",206,657.90(55.9) ,602.00,615.20,710.00,352.00,"3,763.61"
2024-03-19,18,BHDC,469.00,466.00,484.00,466.00,"7,011","3,300,029",100,469.00(-6) ,475.00,470.69,523.00,286.50,"4,924.50"
2024-03-19,19,BHL,347.40,335.20,356.60,335.20,"7,837","2,723,014.4",117,347.40(5.4) ,342.00,347.45,394.00,192.70,"6,350.37"
2024-03-19,20,BHPL,486.80,480.00,489.00,477.00,"3,008","1,444,646.4",39,486.80(1.8) ,485.00,480.26,569.50,304.10,"1,217.00"
2024-03-19,21,BNHC,550.00,510.00,550.00,498.00,"66,462","34,458,765.8",367,550.00(50) ,500.00,518.47,550.00,270.10,"2,200.00"
2024-03-19,22,BNT,"13,400.00","13,411.00","13,770.00","13,133.00",270,"3,627,753",23,"13,400.00(-100) ","13,500.00","13,436.12","17,508.00","10,500.00","16,214.00"
2024-03-19,23,BPCL,310.00,309.00,312.00,308.50,"8,112","2,514,871.3",79,310.00(0.8) ,309.20,310.01,365.00,292.10,"10,568.10"
2024-03-19,24,C30MF,9.00,9.00,9.15,9.00,"22,450","205,162.5",24,9.00(-0.15) ,9.15,9.13,10.00,7.61,675.65
2024-03-19,25,CBBL,866.00,860.00,873.00,860.00,"9,383","8,132,187.8",118,866.00(6) ,860.00,866.69,"1,052.50",727.00,"25,782.31"
2024-03-19,26,CBLD88,"1,013.00","1,013.00","1,013.00","1,013.00",25,"25,325",1,"1,013.00(-11) ","1,024.00","1,013.00","1,024.00",824.10,-
