Date,SN,Symbol ,Close Price* (Rs) ,Open Price (Rs) ,High Price (Rs) ,Low Price (Rs) ,Total Traded Quantity ,Total Traded Value ,Total Trades ,LTP ,Previous Day Close Price (Rs) ,Average Traded Price (Rs) ,52 Week High (Rs) ,52 Week Low (Rs) ,MarketCapitalization (Rs) (Amt in millions) 
2024-03-12,1,ACLBSL,680.00,630.00,683.00,628.10,"9,573","6,348,114.7",183,680.00(40) ,640.00,663.12,716.30,500.10,"2,496.58"
2024-03-12,2,ADBL,239.70,235.00,239.70,231.20,"34,642","8,161,336.3",257,239.70(8.7) ,231.00,235.59,299.00,223.00,"32,243.66"
2024-03-12,3,ADBLD83,"1,025.00","1,025.00","1,025.00","1,025.00","1,000","1,025,000",3,"1,025.00(0) ","1,025.00","1,025.00","1,144.00",892.20,-
2024-03-12,4,AHL,455.90,446.00,468.00,446.00,"9,758","4,440,977",133,455.90(7.9) ,448.00,455.11,504.00,273.10,"1,550.06"
2024-03-12,5,AHPC,189.50,190.00,193.00,186.00,"70,728","13,312,598.7",421,189.50(2.5) ,187.00,188.22,316.00,176.00,"7,079.58"
2024-03-12,6,AKJCL,229.00,231.40,236.00,227.00,"44,254","10,172,902.9",258,229.00(2.1) ,226.90,229.87,250.00,141.30,"1,832.00"
2024-03-12,7,AKPL,189.90,189.00,194.00,188.00,"115,619","21,949,479.1",549,189.90(4.3) ,185.60,189.84,417.00,152.40,"7,398.39"
2024-03-12,8,ALBSL,700.00,665.00,700.00,661.00,"7,956","5,409,084.6",188,700.00(40) ,660.00,679.87,903.10,543.00,"4,491.31"
2024-03-12,9,ALICL,600.00,566.00,605.90,559.40,"95,380","55,732,925.7",531,600.00(35) ,565.00,584.32,812.00,517.50,"20,399.02"
2024-03-12,10,ANLB,"2,049.00","1,900.00","2,049.00","1,900.00","3,481","6,800,786",107,"2,049.00(136.9) ","1,912.10","1,953.68","2,651.00",403.80,"1,405.04"
2024-03-12,11,API,191.50,190.00,192.50,188.80,"109,798","20,893,921.1",572,191.50(3.5) ,188.00,190.29,269.00,154.70,"11,081.33"
2024-03-12,12,AVYAN,661.00,612.00,673.00,612.00,"21,509","13,923,135.3",406,661.00(49) ,612.00,647.31,807.80,549.00,"1,652.50"
2024-03-12,13,BARUN,256.00,255.00,257.00,250.10,"51,235","13,003,944.8",150,256.00(3.2) ,252.80,253.80,299.00,191.10,"1,371.69"
2024-03-12,14,BBC,"3,993.00","3,993.00","3,995.00","3,866.80",969,"3,822,341",35,"3,993.00(78) ","3,915.00","3,944.62","4,539.00","3,050.00","1,962.16"
2024-03-12,15,BEDC,363.00,360.00,363.00,353.60,"19,018","6,828,247.6",206,363.00(-0.7) ,363.70,359.04,412.90,170.00,"1,974.91"
2024-03-12,16,BFC,345.00,343.00,345.90,337.20,"22,600","7,741,114.6",174,345.00(1.2) ,343.80,342.52,377.00,284.00,"2,949.12"
2024-03-12,17,BGWT,601.00,585.50,601.00,577.10,"14,079","8,275,402",207,601.00(26.9) ,574.10,587.78,710.00,352.00,"3,438.11"
2024-03-12,18,BHDC,478.00,460.10,479.40,460.10,"6,370","3,003,321.5",116,478.00(9) ,469.00,471.47,523.00,286.50,"5,019.00"
2024-03-12,19,BHL,356.00,353.00,360.00,347.10,"11,929","4,194,895.3",157,356.00(3) ,353.00,351.65,394.00,192.70,"6,507.57"
2024-03-12,20,BHPL,495.00,492.00,509.00,492.00,"5,022","2,482,566.8",59,495.00(-4.9) ,499.90,494.33,572.00,304.10,"1,237.50"
2024-03-12,21,BNHC,470.00,489.60,489.60,461.00,"5,305","2,485,411.3",67,470.00(-10) ,480.00,468.50,511.90,270.10,"1,880.00"
2024-03-12,22,BNL,"21,070.00","21,070.00","21,070.00","21,070.00",10,"210,700",1,"21,070.00(-430) ","21,500.00","21,070.00","23,765.60","2,222.20","41,063.05"
2024-03-12,23,BNT,"14,449.00","14,550.00","14,650.00","14,063.00",677,"9,672,310.6",50,"14,449.00(65) ","14,384.00","14,287.01","17,508.00","10,500.00","17,483.29"
2024-03-12,24,BPCL,316.00,314.00,316.40,311.20,"13,741","4,311,640.4",137,316.00(4) ,312.00,313.77,365.00,292.10,"10,772.64"
2024-03-12,25,C30MF,8.35,8.18,8.40,8.18,"2,300","19,122",12,8.35(0.04) ,8.31,8.31,10.00,7.61,626.85
2024-03-12,26,CBBL,889.00,860.00,889.00,855.00,"16,818","14,632,488.6",352,889.00(44) ,845.00,870.04,"1,052.50",727.00,"26,467.06"
2024-03-12,27,CCBD88,"1,010.00","1,002.60","1,010.00","1,002.60",50,"50,315",2,"1,010.00(6.9) ","1,003.10","1,006.30","1,022.90",819.10,-
2024-03-12,28,CFCL,349.00,349.00,353.00,344.10,"15,680","5,469,534.1",88,349.00(6) ,343.00,348.82,423.00,275.50,"3,311.58"
2024-03-12,29,CGH,854.90,840.60,857.40,825.00,"25,533","21,438,924.2",315,854.90(30.7) ,824.20,839.65,"1,520.00",796.20,"13,114.94"
2024-03-12,30,CHCL,481.00,480.90,482.00,470.00,"46,130","21,936,830.4",267,481.00(6) ,475.00,475.54,594.00,452.10,"38,403.03"
2024-03-12,31,CHDC,970.00,979.80,979.90,952.00,"6,363","6,177,113",148,970.00(8.5) ,961.50,970.78,"1,217.20",681.20,"8,142.28"
2024-03-12,32,CHL,308.00,312.90,312.90,301.00,"7,838","2,400,020.5",72,308.00(1.1) ,306.90,306.20,337.00,194.10,"1,191.89"
2024-03-12,33,CIT,"2,163.00","2,169.50","2,169.50","2,134.00","14,215","30,545,207",291,"2,163.00(36) ","2,127.00","2,148.80","2,704.00","1,850.00","114,936.42"
2024-03-12,34,CITY,637.00,612.90,637.00,590.00,"23,974","14,743,495.7",335,637.00(36) ,601.00,614.97,782.50,111.10,"10,663.38"
2024-03-12,35,CKHL,617.20,635.00,635.00,607.00,"13,453","8,311,939.1",267,617.20(-14.8) ,632.00,617.85,686.80,300.00,"2,468.80"
2024-03-12,36,CLI,486.00,463.00,489.50,461.00,"133,782","63,890,280.2","1,976",486.00(27) ,459.00,477.57,567.00,375.00,"19,136.25"
2024-03-12,37,CMF1,8.81,8.52,8.81,8.52,"2,800","24,302",4,8.81(0.13) ,8.68,8.67,9.40,6.96,722.42
2024-03-12,38,CMF2,8.00,8.00,8.00,8.00,600,"4,800",2,8.00(-0.05) ,8.05,8.00,10.39,6.81,448.00
2024-03-12,39,CORBL,435.10,437.00,458.30,426.00,"8,478","3,678,814",49,435.10(3.1) ,432.00,433.92,475.00,277.80,"2,284.28"
2024-03-12,40,CYCL,"1,420.00","1,379.00","1,463.00","1,326.00","29,119","39,795,427",448,"1,420.00(13) ","1,407.00","1,366.64","1,560.00",882.00,"3,783.23"
2024-03-12,41,CZBIL,169.20,167.40,170.00,164.70,"35,471","5,917,286.8",169,169.20(5) ,164.20,166.82,207.80,156.80,"24,028.05"
2024-03-12,42,DDBL,790.00,786.00,794.90,775.00,"10,974","8,637,174.2",186,790.00(15) ,775.00,787.05,913.00,606.70,"12,253.60"
2024-03-12,43,DHPL,204.00,208.80,210.70,203.00,"16,267","3,355,335.1",95,204.00(-0.8) ,204.80,206.26,242.00,134.00,538.56
2024-03-12,44,DLBS,979.00,903.50,"1,013.00",903.50,"8,234","7,826,365.1",151,979.00(57.1) ,921.90,950.49,"1,035.00",579.00,"1,303.05"
2024-03-12,45,DOLTI,416.50,404.80,430.00,404.80,"74,348","30,751,706.4",429,416.50(3.5) ,413.00,413.61,450.00,177.40,"2,234.46"
2024-03-12,46,DORDI,444.50,447.00,455.90,435.20,"27,862","12,284,037.6",328,444.50(-2.6) ,447.10,440.88,576.00,191.60,"4,686.19"
2024-03-12,47,EBL,526.00,524.10,528.00,515.00,"27,965","14,650,158.7",246,526.00(12.1) ,513.90,523.87,633.00,448.00,"61,899.18"
2024-03-12,48,EBLD85,"1,025.00","1,010.10","1,010.10","1,010.10",27,"27,302.5",2,"1,025.00(9.4) ","1,015.60","1,011.20","1,053.60",976.10,-
2024-03-12,49,EDBL,365.00,353.00,374.50,353.00,"5,588","2,022,432",50,365.00(6.5) ,358.50,361.92,399.70,266.40,"4,561.38"
2024-03-12,50,EHPL,457.00,460.00,460.00,440.30,"14,170","6,294,390.9",106,457.00(3.5) ,453.50,444.20,500.00,273.00,"2,833.40"
2024-03-12,51,ENL,792.00,786.00,793.50,778.00,"2,991","2,357,988",61,792.00(9) ,783.00,788.36,"1,060.00",572.00,"4,400.35"
2024-03-12,52,FMDBL,638.00,621.00,652.00,612.00,"28,749","18,118,981.6",343,638.00(26) ,612.00,630.24,781.00,497.20,"7,871.82"
2024-03-12,53,FOWAD,"1,135.00","1,094.40","1,137.00","1,090.00","11,017","12,268,828.5",148,"1,135.00(62) ","1,073.00","1,113.62","1,493.00",974.00,"11,980.65"
2024-03-12,54,GBBD85,908.00,906.20,908.00,906.20,160,"145,057",7,908.00(1.9) ,906.10,906.60,"1,000.00",768.10,-
2024-03-12,55,GBBL,377.00,364.00,381.00,364.00,"28,918","10,864,227.6",244,377.00(6) ,371.00,375.69,432.40,336.00,"21,415.55"
2024-03-12,56,GBD80/81,"1,015.00","1,015.00","1,015.00","1,015.00",50,"50,750",1,"1,015.00(10) ","1,005.00","1,015.00","1,075.00",973.60,"104,651.74"
2024-03-12,57,GBIME,194.00,191.00,195.00,190.60,"76,306","14,691,223.6",444,194.00(3) ,191.00,192.53,241.90,176.00,"70,089.81"
2024-03-12,58,GBLBS,591.00,578.00,595.00,577.00,"21,371","12,554,626.6",245,591.00(24) ,567.00,587.46,673.00,427.00,"5,806.57"
2024-03-12,59,GCIL,563.40,556.00,568.20,547.00,"160,648","89,898,141.1","1,630",563.40(18.3) ,545.10,559.59,614.00,363.10,"25,734.34"
2024-03-12,60,GFCL,453.10,452.00,460.00,450.00,"10,822","4,906,830.6",81,453.10(9.7) ,443.40,453.41,530.00,375.00,"4,286.85"
2024-03-12,61,GHL,156.50,156.50,158.00,153.00,"155,203","24,096,041.1",532,156.50(3) ,153.50,155.25,286.00,120.00,"2,582.25"
2024-03-12,62,GIBF1,8.55,8.14,8.60,8.01,"7,900","66,085",17,8.55(0.25) ,8.30,8.36,9.70,7.20,877.03
2024-03-12,63,GILB,897.00,849.50,900.60,835.00,"14,293","12,543,405.5",201,897.00(64) ,833.00,877.59,"1,110.70",665.10,"5,551.53"
2024-03-12,64,GLBSL,"1,036.00",996.00,"1,058.00",996.00,"2,284","2,338,355.8",51,"1,036.00(42) ",994.00,"1,023.79","1,105.00",589.10,"1,050.50"
2024-03-12,65,GLH,217.60,218.20,226.00,211.00,"37,201","8,076,343.6",261,217.60(3.6) ,214.00,217.10,318.00,194.60,"3,916.80"
2024-03-12,66,GMFBS,895.00,883.90,895.00,870.00,531,"467,516.3",22,895.00(28) ,867.00,880.44,922.00,641.00,"1,356.41"
2024-03-12,67,GMFIL,367.40,360.00,370.00,360.00,"9,424","3,426,138.7",54,367.40(10.4) ,357.00,363.55,427.00,277.00,"3,718.73"
2024-03-12,68,GRDBL,376.00,374.00,379.90,370.10,"9,524","3,566,102.5",89,376.00(1.8) ,374.20,374.43,393.60,235.50,"1,951.44"
2024-03-12,69,GUFL,702.00,684.40,713.80,662.00,"134,207","92,333,001.8",816,702.00(31) ,671.00,687.98,713.80,454.00,"6,093.32"
2024-03-12,70,GVL,447.00,447.00,448.70,436.00,"9,110","4,026,431.8",240,447.00(7) ,440.00,441.97,498.00,299.90,"13,968.75"
2024-03-12,71,GWFD83,"1,130.00","1,125.00","1,130.00","1,125.00",203,"229,075",2,"1,130.00(8) ","1,122.00","1,128.44","1,147.50","1,000.00",-
2024-03-12,72,H8020,9.10,9.34,9.65,9.10,"1,460","13,597.8",11,9.10(-0.24) ,9.34,9.31,10.10,8.30,91.00
2024-03-12,73,HATHY,915.00,955.00,955.00,915.00,"64,932","60,597,723.6",732,915.00(-22) ,937.00,933.24,"1,123.00",279.50,"23,552.10"
2024-03-12,74,HBL,198.30,198.00,199.90,194.20,"46,432","9,119,314.1",255,198.30(4.1) ,194.20,196.40,246.30,184.00,"42,945.07"
2024-03-12,75,HDHPC,145.60,145.80,148.90,144.00,"115,533","16,818,632.1",414,145.60(2.6) ,143.00,145.57,233.40,116.00,"4,076.80"
2024-03-12,76,HDL,"1,618.50","1,560.60","1,634.90","1,560.60","68,949","110,690,011.3","1,624","1,618.50(88.5) ","1,530.00","1,605.38","2,510.00","1,441.00","43,254.79"
2024-03-12,77,HEI,612.00,595.00,615.00,591.00,"55,023","33,172,978.8",297,612.00(21) ,591.00,602.89,705.00,400.60,"15,300.96"
2024-03-12,78,HEIP,366.00,358.00,366.00,358.00,"7,166","2,600,644.6",27,366.00(8) ,358.00,362.91,486.90,245.50,979.07
2024-03-12,79,HHL,335.00,336.60,343.00,323.00,"23,768","7,821,606.8",246,335.00(5) ,330.00,329.08,387.00,170.30,"3,668.25"
2024-03-12,80,HIDCL,182.50,180.00,183.90,178.00,"85,180","15,369,967.2",436,182.50(5.5) ,177.00,180.44,212.00,154.00,"41,565.83"
2024-03-12,81,HIDCLP,103.90,103.90,104.00,102.20,"58,711","6,047,662.8",92,103.90(1.5) ,102.40,103.00,118.00,96.60,10.39
2024-03-12,82,HLBSL,639.10,616.00,644.00,608.00,"13,637","8,589,154.4",199,639.10(35.1) ,604.00,629.84,846.00,519.10,"2,043.96"
2024-03-12,83,HLI,426.00,404.00,426.30,401.00,"216,626","90,031,825.1","1,421",426.00(29) ,397.00,415.60,574.00,340.00,"34,166.83"
2024-03-12,84,HPPL,289.00,286.00,289.00,282.30,"20,207","5,764,433.3",102,289.00(3) ,286.00,285.26,322.00,199.00,"3,079.06"
2024-03-12,85,HRL,635.00,632.40,635.50,620.00,"249,989","157,186,727.7","3,922",635.00(15) ,620.00,628.77,731.00,309.20,"66,040.00"
2024-03-12,86,HURJA,301.00,306.00,306.00,300.00,"42,644","12,893,080.9",150,301.00(-2) ,303.00,302.34,365.00,205.00,"2,979.90"
2024-03-12,87,ICFC,506.00,496.00,506.00,492.20,"30,314","15,162,285.2",205,506.00(13) ,493.00,500.17,552.00,391.00,"5,988.36"
2024-03-12,88,ICFCD83,"1,125.00","1,120.00","1,125.00","1,120.00",371,"416,425",3,"1,125.00(15) ","1,110.00","1,122.43","1,186.00",994.70,-
2024-03-12,89,IGI,569.00,560.00,569.90,552.00,"73,921","41,494,160.9",309,569.00(19) ,550.00,561.33,615.00,366.20,"17,236.91"
2024-03-12,90,IHL,370.20,364.00,377.90,364.00,"31,939","11,897,983",255,370.20(-0.5) ,370.70,372.52,395.00,200.20,"2,221.20"
2024-03-12,91,ILBS,755.90,729.90,755.90,725.50,"14,479","10,748,558.6",175,755.90(30.4) ,725.50,742.35,827.00,537.00,"3,759.97"
