Date,SN,Symbol ,Close Price* (Rs) ,Open Price (Rs) ,High Price (Rs) ,Low Price (Rs) ,Total Traded Quantity ,Total Traded Value ,Total Trades ,LTP ,Previous Day Close Price (Rs) ,Average Traded Price (Rs) ,52 Week High (Rs) ,52 Week Low (Rs) ,MarketCapitalization (Rs) (Amt in millions) 
2024-03-03,1,ACLBSL,600.00,614.50,614.50,585.00,842,"498,186.9",32,600.00(-2.5) ,602.50,591.67,716.30,500.10,"2,202.86"
2024-03-03,2,ADBL,224.00,230.00,230.00,223.00,"14,194","3,184,330.9",176,224.00(-1.8) ,225.80,224.34,307.70,223.00,"30,131.75"
2024-03-03,3,AHL,421.30,434.30,434.30,416.10,"7,650","3,252,609",72,421.30(-7.7) ,429.00,425.18,504.00,273.10,"1,432.42"
2024-03-03,4,AHPC,176.20,181.00,183.00,176.00,"26,846","4,773,807.8",216,176.20(-4.1) ,180.30,177.82,316.00,176.00,"6,582.70"
2024-03-03,5,AKJCL,211.50,217.30,217.30,210.00,"25,791","5,500,557.1",177,211.50(-1.6) ,213.10,213.27,250.00,141.30,"1,692.00"
2024-03-03,6,AKPL,174.00,176.00,176.40,172.00,"77,432","13,504,822.4",376,174.00(-2.6) ,176.60,174.41,422.00,152.40,"6,778.94"
2024-03-03,7,ALBSL,632.40,627.20,632.40,616.90,"3,710","2,323,692.9",85,632.40(-7.6) ,640.00,626.33,903.10,543.00,"4,057.58"
2024-03-03,8,ALICL,545.90,549.00,553.90,538.00,"57,831","31,278,022.3",241,545.90(-13.7) ,559.60,540.85,812.00,517.50,"18,559.71"
2024-03-03,9,ANLB,"1,912.00","1,875.00","1,912.00","1,839.60",567,"1,054,990",31,"1,912.00(35.8) ","1,876.20","1,860.65","2,651.00",403.80,"1,311.09"
2024-03-03,10,API,175.80,177.00,177.00,174.00,"103,413","18,100,467.3",493,175.80(-0.8) ,176.60,175.03,269.00,154.70,"10,172.84"
2024-03-03,11,AVYAN,589.90,580.00,591.00,580.00,890,"522,097",52,589.90(0.9) ,589.00,586.63,807.80,549.00,"1,474.75"
2024-03-03,12,BARUN,242.30,241.80,248.00,241.80,"14,344","3,508,535.6",83,242.30(-4.2) ,246.50,244.60,299.00,191.10,"1,298.28"
2024-03-03,13,BBC,"4,000.00","4,081.00","4,320.00","3,884.00","1,287","5,103,049.5",82,"4,000.00(-161) ","4,161.00","3,965.07","4,539.00","3,050.00","1,965.60"
2024-03-03,14,BEDC,334.00,329.30,345.00,327.00,"5,781","1,930,748.5",128,334.00(-2) ,336.00,333.98,412.90,170.00,"1,817.14"
2024-03-03,15,BFC,319.00,315.00,321.00,313.00,"11,480","3,642,911.7",70,319.00(4) ,315.00,317.33,377.00,284.00,"2,726.87"
2024-03-03,16,BGWT,565.00,569.00,569.00,548.00,"4,845","2,694,685",94,565.00(-13) ,578.00,556.18,710.00,352.00,"3,232.17"
2024-03-03,17,BHDC,435.20,455.00,455.00,434.00,"6,920","3,052,879",71,435.20(-19.8) ,455.00,441.17,523.00,286.50,"4,569.60"
