Date,SN,Symbol ,Close Price* (Rs) ,Open Price (Rs) ,High Price (Rs) ,Low Price (Rs) ,Total Traded Quantity ,Total Traded Value ,Total Trades ,LTP ,Previous Day Close Price (Rs) ,Average Traded Price (Rs) ,52 Week High (Rs) ,52 Week Low (Rs) ,MarketCapitalization (Rs) (Amt in millions) 
2024-03-31,1,ACLBSL,690.90,730.00,744.00,690.90,"4,250","3,011,386.8",83,690.90(-31) ,721.90,708.56,783.20,500.10,"2,536.59"
2024-03-31,2,ADBL,228.40,228.00,232.00,227.40,"12,071","2,773,438.3",121,228.40(-1.6) ,230.00,229.76,275.00,223.00,"30,723.62"
2024-03-31,3,ADBLD83,"1,043.00","1,034.10","1,040.00","1,034.10",134,"138,797",3,"1,043.00(8) ","1,035.00","1,035.79","1,144.00",915.00,-
2024-03-31,4,AHL,447.00,463.90,463.90,441.50,"17,247","7,698,869.9",147,447.00(-8) ,455.00,446.38,504.00,273.10,"1,519.80"
2024-03-31,5,AHPC,175.00,179.80,179.80,174.00,"31,507","5,510,930.2",216,175.00(-2.3) ,177.30,174.91,316.00,174.00,"6,537.87"
2024-03-31,6,AKJCL,218.00,218.00,220.40,217.00,"17,311","3,786,438.6",119,218.00(1.9) ,216.10,218.73,250.00,141.30,"1,744.00"
2024-03-31,7,AKPL,177.00,178.00,179.10,175.00,"53,718","9,474,395.2",302,177.00(-0.6) ,177.60,176.37,417.00,152.40,"6,895.82"
2024-03-31,8,ALBSL,710.20,710.00,719.50,710.00,"3,712","2,638,606.9",94,710.20(-2) ,712.20,710.83,903.10,543.00,"4,556.76"
2024-03-31,9,ALICL,555.10,565.00,565.00,555.10,"14,712","8,203,963.8",111,555.10(-6.9) ,562.00,557.63,812.00,517.50,"18,872.49"
2024-03-31,10,ANLB,"1,970.00","2,000.00","2,000.00","1,965.00",180,"356,970",13,"1,970.00(-12) ","1,982.00","1,983.16","2,651.00",403.80,"1,350.86"
2024-03-31,11,API,175.50,178.10,180.00,175.50,"74,235","13,115,256.6",410,175.50(-3) ,178.50,176.67,268.20,154.70,"10,155.48"
2024-03-31,12,AVYAN,640.00,637.00,680.00,634.00,"6,466","4,148,366",126,640.00(-9.9) ,649.90,641.56,807.80,549.00,"1,600.00"
2024-03-31,13,BARUN,246.50,246.00,247.90,241.00,"28,949","7,090,678.7",106,246.50(2.5) ,244.00,244.93,299.00,191.10,"1,320.78"
2024-03-31,14,BBC,"3,775.00","3,850.00","3,850.00","3,775.00",89,"338,005",7,"3,775.00(-55) ","3,830.00","3,797.80","4,539.00","3,050.00","1,855.04"
2024-03-31,15,BEDC,376.90,362.30,383.00,362.30,"51,661","19,528,755.5",485,376.90(10.9) ,366.00,378.01,412.90,170.00,"2,050.54"
2024-03-31,16,BFC,337.00,335.20,348.00,334.00,"15,221","5,124,428.4",125,337.00(-4.9) ,341.90,336.66,377.00,284.00,"2,880.73"
2024-03-31,17,BGWT,625.90,620.00,656.00,605.30,"7,736","4,821,279.3",189,625.90(10.9) ,615.00,623.22,710.00,352.00,"3,580.55"
2024-03-31,18,BHDC,468.90,460.00,475.00,453.40,"12,215","5,628,902.4",153,468.90(-0.1) ,469.00,460.81,523.00,286.50,"4,923.45"
2024-03-31,19,BHL,353.00,371.00,375.00,351.30,"21,788","7,759,593",223,353.00(-11) ,364.00,356.14,394.00,192.70,"6,452.73"
2024-03-31,20,BHPL,481.00,476.00,494.70,470.20,"3,898","1,884,263",71,481.00(1.8) ,479.20,483.39,569.50,304.10,"1,202.50"
2024-03-31,21,BNHC,479.00,480.30,499.60,478.30,"8,635","4,169,094",129,479.00(-11) ,490.00,482.81,617.00,270.10,"1,916.00"
2024-03-31,22,BNL,"16,901.40","17,950.00","17,950.00","16,901.40",40,"696,895",4,"16,901.40(-1,398.6) ","18,300.00","17,422.37","23,765.60","2,222.20","32,938.92"
2024-03-31,23,BNT,"13,000.00","13,200.00","13,362.00","12,851.00",445,"5,808,723",38,"13,000.00(-100) ","13,100.00","13,053.31","17,508.00","10,500.00","15,730.00"
2024-03-31,24,BPCL,301.00,301.00,303.00,300.40,"14,561","4,392,131.1",142,301.00(-4) ,305.00,301.63,365.00,292.10,"10,261.28"
2024-03-31,25,C30MF,9.30,9.02,9.30,9.02,600,"5,552",4,9.30(0.1) ,9.20,9.25,10.00,7.61,698.17
2024-03-31,26,CBBL,829.90,832.40,837.00,825.00,"17,185","14,272,944.1",204,829.90(-5.1) ,835.00,830.54,"1,052.50",756.00,"24,707.55"
2024-03-31,27,CBLD88,"1,025.10","1,025.00","1,025.10","1,025.00",130,"133,258",3,"1,025.10(10.1) ","1,015.00","1,025.06","1,025.10",824.30,-
2024-03-31,28,CCBD88,"1,014.00","1,016.00","1,017.00","1,000.00","20,080","20,082,905",6,"1,014.00(-2) ","1,016.00","1,000.14","1,022.90",835.10,-
2024-03-31,29,CFCL,341.20,353.90,353.90,340.20,"9,045","3,117,303.5",68,341.20(-5.8) ,347.00,344.64,423.00,275.50,"3,237.56"
