Date,SN,Symbol ,Close Price* (Rs) ,Open Price (Rs) ,High Price (Rs) ,Low Price (Rs) ,Total Traded Quantity ,Total Traded Value ,Total Trades ,LTP ,Previous Day Close Price (Rs) ,Average Traded Price (Rs) ,52 Week High (Rs) ,52 Week Low (Rs) ,MarketCapitalization (Rs) (Amt in millions) 
2024-03-05,1,ACLBSL,608.00,612.00,636.00,605.10,"2,391","1,467,438.4",52,608.00(8) ,600.00,613.73,716.30,500.10,"2,232.23"
2024-03-05,2,ADBL,229.50,242.10,242.10,228.60,"22,320","5,174,348.4",161,229.50(-7.9) ,237.40,231.83,307.70,223.00,"30,871.59"
2024-03-05,3,ADBLD83,"1,040.00","1,040.00","1,040.00","1,040.00",10,"10,400",1,"1,040.00(16) ","1,024.00","1,040.00","1,144.00",865.10,-
2024-03-05,4,AHL,432.50,472.60,472.60,429.00,"11,046","4,860,581.5",132,432.50(-30.9) ,463.40,440.03,504.00,273.10,"1,470.50"
2024-03-05,5,AHPC,189.60,197.00,197.00,185.00,"114,688","21,711,445.9",543,189.60(-4.2) ,193.80,189.31,316.00,176.00,"7,083.31"
2024-03-05,6,AKJCL,221.00,221.30,229.50,220.00,"100,042","22,442,609.9",473,221.00(4) ,217.00,224.33,250.00,141.30,"1,768.00"
2024-03-05,7,AKPL,183.40,191.70,198.00,182.00,"175,926","32,925,217.7",751,183.40(-4.6) ,188.00,187.15,422.00,152.40,"7,145.16"
2024-03-05,8,ALBSL,644.00,670.00,670.00,632.20,"1,834","1,172,456.4",64,644.00(-13.9) ,657.90,639.29,903.10,543.00,"4,132.01"
2024-03-05,9,ALICL,549.00,586.50,586.50,549.00,"53,344","29,912,207.7",267,549.00(-26) ,575.00,560.74,812.00,517.50,"18,665.10"
2024-03-05,10,ALICLP,308.00,308.00,308.00,308.00,"50,000","15,400,000",1,308.00(0) ,308.00,308.00,382.00,308.00,30.80
2024-03-05,11,ANLB,"1,888.00","1,949.50","1,949.50","1,888.00",370,"704,711",20,"1,888.00(-101.2) ","1,989.20","1,904.62","2,651.00",403.80,"1,294.64"
2024-03-05,12,API,185.90,197.00,197.00,183.00,"246,540","46,644,960.7","1,043",185.90(-7.4) ,193.30,189.20,269.00,154.70,"10,757.29"
2024-03-05,13,AVYAN,590.00,610.00,610.00,588.00,"1,441","854,335.1",48,590.00(-11.6) ,601.60,592.88,807.80,549.00,"1,475.00"
2024-03-05,14,BARUN,248.00,266.00,266.00,247.00,"67,523","17,140,602.2",181,248.00(-18) ,266.00,253.85,299.00,191.10,"1,328.82"
2024-03-05,15,BBC,"3,865.00","4,155.00","4,155.00","3,800.00","1,246","4,863,822",59,"3,865.00(-215) ","4,080.00","3,903.55","4,539.00","3,050.00","1,899.26"
2024-03-05,16,BEDC,347.00,368.00,370.00,343.20,"20,010","7,089,799.7",213,347.00(-14.3) ,361.30,354.31,412.90,170.00,"1,887.87"
2024-03-05,17,BFC,326.00,345.00,345.00,322.60,"16,384","5,394,977.3",110,326.00(-12.4) ,338.40,329.28,377.00,284.00,"2,786.70"
2024-03-05,18,BGWT,576.90,599.00,599.00,567.50,"6,219","3,580,628.5",118,576.90(-22.1) ,599.00,575.76,710.00,352.00,"3,300.24"
2024-03-05,19,BHDC,434.20,463.00,469.00,434.20,"12,496","5,672,250",107,434.20(-27.5) ,461.70,453.93,523.00,286.50,"4,559.10"
2024-03-05,20,BHL,336.00,344.00,346.00,333.00,"17,331","5,877,261.7",181,336.00(-8) ,344.00,339.12,394.00,192.70,"6,141.98"
2024-03-05,21,BHPL,481.00,512.00,512.00,479.00,"13,844","6,782,964",116,481.00(-40.8) ,521.80,489.96,572.00,304.10,"1,202.50"
2024-03-05,22,BNHC,455.00,489.60,489.60,453.00,"9,651","4,465,271",88,455.00(-25) ,480.00,462.67,511.90,270.10,"1,820.00"
