Date,SN,Symbol ,Close Price* (Rs) ,Open Price (Rs) ,High Price (Rs) ,Low Price (Rs) ,Total Traded Quantity ,Total Traded Value ,Total Trades ,LTP ,Previous Day Close Price (Rs) ,Average Traded Price (Rs) ,52 Week High (Rs) ,52 Week Low (Rs) ,MarketCapitalization (Rs) (Amt in millions) 
2024-03-26,1,ACLBSL,739.50,708.00,764.90,708.00,"8,187","5,942,339.6",140,739.50(23) ,716.50,725.82,783.20,500.10,"2,715.03"
2024-03-26,2,ADBL,233.50,234.00,235.00,231.20,"24,395","5,683,731.7",117,233.50(0) ,233.50,232.98,275.00,223.00,"31,409.66"
2024-03-26,3,ADBLD83,"1,040.00","1,040.00","1,040.00","1,040.00",800,"832,000",4,"1,040.00(0) ","1,040.00","1,040.00","1,144.00",900.00,-
2024-03-26,4,AHL,440.00,435.50,453.00,420.00,"3,611","1,581,800",91,440.00(13) ,427.00,438.05,504.00,273.10,"1,496.00"
2024-03-26,5,AHPC,177.20,178.00,179.00,175.00,"54,589","9,678,789.2",231,177.20(0.9) ,176.30,177.30,316.00,175.00,"6,620.06"
2024-03-26,6,AKJCL,219.00,218.00,220.70,214.40,"28,210","6,146,156.4",154,219.00(2.6) ,216.40,217.87,250.00,141.30,"1,752.00"
2024-03-26,7,AKPL,178.50,177.50,180.50,177.30,"51,596","9,220,393.9",265,178.50(-0.5) ,179.00,178.70,417.00,152.40,"6,954.26"
2024-03-26,8,ALBSL,732.80,725.00,739.00,705.00,"6,591","4,785,566.7",152,732.80(17.7) ,715.10,726.07,903.10,543.00,"4,701.76"
2024-03-26,9,ALICL,567.00,568.00,573.00,562.70,"11,174","6,311,089.8",96,567.00(0) ,567.00,564.80,812.00,517.50,"19,277.07"
2024-03-26,10,ANLB,"1,992.00","1,980.00","2,020.00","1,965.00",880,"1,757,781",36,"1,992.00(50.8) ","1,941.20","1,997.47","2,651.00",403.80,"1,365.95"
2024-03-26,11,API,179.00,179.00,180.50,178.00,"70,877","12,708,005.2",379,179.00(0.4) ,178.60,179.29,268.20,154.70,"10,358.01"
2024-03-26,12,AVYAN,660.00,685.40,693.00,659.00,"12,516","8,428,790.3",157,660.00(-12) ,672.00,673.44,807.80,549.00,"1,650.00"
2024-03-26,13,BARUN,243.10,239.00,247.00,238.00,"18,422","4,447,387.3",89,243.10(3.2) ,239.90,241.41,299.00,191.10,"1,302.57"
2024-03-26,14,BBC,"3,800.00","3,875.00","3,875.00","3,800.00",130,"495,910",10,"3,800.00(-15) ","3,815.00","3,814.69","4,539.00","3,050.00","1,867.32"
2024-03-26,15,BEDC,350.50,344.00,360.50,338.00,"15,803","5,571,600.4",190,350.50(6) ,344.50,352.56,412.90,170.00,"1,906.91"
2024-03-26,16,BFC,350.00,347.10,360.40,346.50,"14,863","5,220,635.1",103,350.00(-3.5) ,353.50,351.25,377.00,284.00,"2,991.86"
2024-03-26,17,BGWT,619.10,637.00,637.00,612.50,"18,410","11,408,023.7",143,619.10(-30.9) ,650.00,619.66,710.00,352.00,"3,541.65"
2024-03-26,18,BHDC,462.00,443.00,469.10,443.00,"6,550","2,996,020",74,462.00(12) ,450.00,457.40,523.00,286.50,"4,851.00"
2024-03-26,19,BHL,353.90,343.70,360.00,331.30,"24,225","8,559,494",222,353.90(16.9) ,337.00,353.33,394.00,192.70,"6,469.19"
2024-03-26,20,BHPL,484.00,480.00,518.00,473.00,"4,252","2,058,553.8",72,484.00(13) ,471.00,484.13,569.50,304.10,"1,210.00"
2024-03-26,21,BNHC,497.00,480.30,508.80,480.30,"19,846","9,742,325.9",191,497.00(6.9) ,490.10,490.89,617.00,270.10,"1,988.00"
2024-03-26,22,BNL,"18,543.60","18,500.00","20,104.10","18,500.00",150,"2,880,886",15,"18,543.60(267.1) ","18,276.50","19,205.90","23,765.60","2,222.20","36,139.38"
2024-03-26,23,BNT,"13,600.00","13,999.00","14,050.00","13,600.00",792,"10,952,827",56,"13,600.00(-175) ","13,775.00","13,829.32","17,508.00","10,500.00","16,456.00"
2024-03-26,24,BOKD86,919.20,919.20,919.20,919.20,25,"22,980",1,919.20(18) ,901.20,919.20,920.00,745.00,"1,470.72"
2024-03-26,25,BPCL,305.10,304.40,308.00,304.00,"7,516","2,294,912.9",75,305.10(1.1) ,304.00,305.33,365.00,292.10,"10,401.06"
2024-03-26,26,C30MF,9.27,9.27,9.27,9.27,600,"5,562",6,9.27(0) ,9.27,9.27,10.00,7.61,695.92
2024-03-26,27,CBBL,846.00,859.90,859.90,840.00,"6,211","5,262,005.6",129,846.00(0.9) ,845.10,847.20,"1,052.50",756.00,"25,186.88"
2024-03-26,28,CCBD88,"1,015.00","1,015.00","1,015.00","1,015.00",25,"25,375",1,"1,015.00(4.9) ","1,010.10","1,015.00","1,022.90",833.10,-
2024-03-26,29,CFCL,350.10,357.00,364.00,348.00,"13,871","4,871,381.4",90,350.10(-0.2) ,350.30,351.19,423.00,275.50,"3,322.01"
2024-03-26,30,CGH,823.00,821.00,832.00,820.10,"3,916","3,226,825.6",98,823.00(5.5) ,817.50,824.01,"1,520.00",796.20,"12,625.57"
2024-03-26,31,CHCL,460.00,458.00,464.00,458.00,"15,071","6,930,203",174,460.00(-0.2) ,460.20,459.83,594.00,452.10,"36,726.39"
2024-03-26,32,CHDC,936.00,930.00,947.70,930.00,"7,824","7,309,924",140,936.00(-2) ,938.00,934.29,"1,217.20",681.20,"7,856.88"
2024-03-26,33,CHL,295.00,285.00,306.00,285.00,"13,467","3,924,355",65,295.00(9.5) ,285.50,291.40,337.00,194.10,"1,141.58"
2024-03-26,34,CIT,"2,115.00","2,105.00","2,115.00","2,100.10","9,551","20,140,901.9",170,"2,115.00(11) ","2,104.00","2,108.77","2,704.00","1,850.00","112,385.82"
2024-03-26,35,CITY,608.80,590.10,609.90,590.00,"7,380","4,444,618.6",172,608.80(15.8) ,593.00,602.25,782.50,111.10,"10,191.31"
2024-03-26,36,CKHL,607.00,595.60,612.00,595.60,"23,914","14,398,690.3",237,607.00(0) ,607.00,602.10,686.80,300.00,"2,428.00"
2024-03-26,37,CLI,451.00,444.00,458.00,444.00,"23,481","10,621,168.7",766,451.00(-1) ,452.00,452.33,567.00,375.00,"17,758.13"
2024-03-26,38,CMF1,9.14,9.14,9.14,9.14,"45,740","418,063.6",7,9.14(0.17) ,8.97,9.14,9.40,6.96,749.48
2024-03-26,39,CMF2,7.97,7.82,7.97,7.82,"1,450","11,406.5",3,7.97(0.15) ,7.82,7.86,10.39,6.81,446.32
2024-03-26,40,CORBL,435.00,422.60,460.00,422.60,"9,313","4,132,229.8",70,435.00(3.8) ,431.20,443.70,475.00,277.80,"2,283.75"
2024-03-26,41,CYCL,"1,410.00","1,421.00","1,421.00","1,341.00","8,772","12,261,471.1",307,"1,410.00(-40) ","1,450.00","1,397.79","1,560.00",882.00,"3,756.58"
2024-03-26,42,CZBIL,161.50,161.00,162.90,159.30,"26,273","4,212,810.3",118,161.50(-0.5) ,162.00,160.34,207.80,156.80,"22,934.57"
2024-03-26,43,DDBL,799.00,799.80,799.80,786.10,"12,776","10,128,711.2",143,799.00(12.8) ,786.20,792.79,913.00,606.70,"12,393.20"
2024-03-26,44,DHPL,198.00,195.00,199.00,194.70,"6,378","1,257,882.7",47,198.00(4) ,194.00,197.22,242.00,134.00,522.72
2024-03-26,45,DLBS,"1,399.60","1,544.00","1,544.00","1,389.60","8,900","12,468,977.3",291,"1,399.60(-144.4) ","1,544.00","1,401.00","1,544.00",579.00,"1,862.87"
2024-03-26,46,DOLTI,430.10,384.00,430.10,384.00,"142,111","59,448,791.6",802,430.10(39.1) ,391.00,418.32,450.00,177.40,"2,307.43"
2024-03-26,47,DORDI,465.00,448.10,470.50,442.00,"69,397","31,855,389.2",641,465.00(17) ,448.00,459.03,576.00,191.60,"4,902.31"
2024-03-26,48,EBL,506.30,505.00,509.00,503.40,"16,132","8,156,601",121,506.30(3.3) ,503.00,505.61,633.00,448.00,"59,580.90"
2024-03-26,49,EBLD85,"1,036.60","1,036.60","1,036.60","1,036.60",25,"25,915",1,"1,036.60(-21.08) ","1,057.68","1,036.60","1,057.68",976.10,-
