Date,SN,Symbol ,Close Price* (Rs) ,Open Price (Rs) ,High Price (Rs) ,Low Price (Rs) ,Total Traded Quantity ,Total Traded Value ,Total Trades ,LTP ,Previous Day Close Price (Rs) ,Average Traded Price (Rs) ,52 Week High (Rs) ,52 Week Low (Rs) ,MarketCapitalization (Rs) (Amt in millions) 
2024-03-20,1,ACLBSL,765.00,724.00,783.20,724.00,"18,807","14,404,366.4",326,765.00(53) ,712.00,765.90,783.20,500.10,"2,808.65"
2024-03-20,2,ADBL,234.50,239.00,239.00,230.20,"21,729","5,059,894.2",126,234.50(0.1) ,234.40,232.86,275.00,223.00,"31,544.18"
2024-03-20,3,ADBLD83,"1,030.00","1,030.00","1,030.00","1,030.00",100,"103,000",1,"1,030.00(-1) ","1,031.00","1,030.00","1,144.00",892.20,-
2024-03-20,4,AHL,439.90,444.00,453.90,433.00,"4,612","2,020,775.5",84,439.90(3.6) ,436.30,438.15,504.00,273.10,"1,495.66"
2024-03-20,5,AHPC,181.70,185.30,187.00,181.00,"29,213","5,340,002.3",239,181.70(0) ,181.70,182.79,316.00,176.00,"6,788.18"
2024-03-20,6,AKJCL,221.50,226.40,226.50,220.00,"12,212","2,711,663.1",112,221.50(-0.5) ,222.00,222.04,250.00,141.30,"1,772.00"
2024-03-20,7,AKPL,181.10,186.00,186.00,180.00,"63,267","11,501,593.5",296,181.10(-1.9) ,183.00,181.79,417.00,152.40,"7,055.55"
2024-03-20,8,ALBSL,747.00,725.00,763.00,725.00,"38,591","28,957,809.1",480,747.00(27) ,720.00,750.37,903.10,543.00,"4,792.87"
2024-03-20,9,ALICL,578.00,580.00,587.90,570.00,"13,364","7,734,384.7",98,578.00(0) ,578.00,578.74,812.00,517.50,"19,651.05"
2024-03-20,10,ANLB,"2,205.00","2,200.00","2,254.00","2,181.00","1,872","4,165,705",68,"2,205.00(5) ","2,200.00","2,225.26","2,651.00",403.80,"1,512.01"
2024-03-20,11,API,182.00,187.60,187.60,181.00,"134,701","24,574,151.1",544,182.00(-2) ,184.00,182.43,269.00,154.70,"10,531.61"
2024-03-20,12,AVYAN,702.00,683.40,712.00,676.00,"38,322","26,704,189.5",613,702.00(32) ,670.00,696.83,807.80,549.00,"1,755.00"
2024-03-20,13,BARUN,245.00,249.00,253.90,243.10,"26,116","6,403,594.4",92,245.00(-1.1) ,246.10,245.19,299.00,191.10,"1,312.75"
2024-03-20,14,BBC,"3,843.90","3,846.00","3,850.00","3,813.00",503,"1,928,735.8",30,"3,843.90(-1.1) ","3,845.00","3,834.46","4,539.00","3,050.00","1,888.89"
2024-03-20,15,BEDC,346.70,357.00,357.00,346.20,"6,474","2,271,459.7",114,346.70(-11.1) ,357.80,350.85,412.90,170.00,"1,886.23"
2024-03-20,16,BFC,351.00,365.00,365.00,351.00,"27,073","9,640,359.4",171,351.00(-8) ,359.00,356.08,377.00,284.00,"3,000.41"
2024-03-20,17,BGWT,614.00,644.80,644.80,610.00,"33,930","20,971,000.2",277,614.00(-43.9) ,657.90,618.06,710.00,352.00,"3,512.48"
2024-03-20,18,BHDC,473.00,463.00,476.00,459.70,"7,165","3,363,215",96,473.00(4) ,469.00,469.39,523.00,286.50,"4,966.50"
2024-03-20,19,BHL,345.90,347.00,364.10,341.10,"6,530","2,286,758",132,345.90(-1.5) ,347.40,350.19,394.00,192.70,"6,322.95"
2024-03-20,20,BHPL,490.00,477.10,490.00,475.70,"2,510","1,208,523.8",37,490.00(3.2) ,486.80,481.48,569.50,304.10,"1,225.00"
2024-03-20,21,BNHC,605.00,550.00,605.00,519.10,"29,502","15,931,157.7",285,605.00(55) ,550.00,540.00,605.00,270.10,"2,420.00"
2024-03-20,22,BNL,"18,350.00","19,831.00","19,831.00","18,350.00",60,"1,136,772",6,"18,350.00(-1,885.7) ","20,235.70","18,946.20","23,765.60","2,222.20","35,762.08"
2024-03-20,23,BNT,"13,299.90","13,499.00","13,505.00","13,204.00",236,"3,149,995",18,"13,299.90(-100.1) ","13,400.00","13,347.43","17,508.00","10,500.00","16,092.88"
2024-03-20,24,BPCL,306.10,316.00,316.00,306.00,"7,418","2,284,183.4",98,306.10(-3.9) ,310.00,307.92,365.00,292.10,"10,435.15"
2024-03-20,25,C30MF,9.10,8.90,9.10,8.90,"1,900","16,970",8,9.10(0.1) ,9.00,8.93,10.00,7.61,683.16
2024-03-20,26,CBBL,877.90,870.00,889.90,867.10,"18,990","16,753,169.6",326,877.90(11.9) ,866.00,882.21,"1,052.50",727.00,"26,136.59"
2024-03-20,27,CBLD88,"1,014.50","1,012.00","1,015.00","1,012.00",200,"202,887.5",5,"1,014.50(1.5) ","1,013.00","1,014.43","1,024.00",824.10,-
2024-03-20,28,CCBD88,"1,011.00","1,011.00","1,011.00","1,011.00",25,"25,275",1,"1,011.00(-6.5) ","1,017.50","1,011.00","1,022.90",831.00,-
2024-03-20,29,CFCL,350.20,360.00,361.00,350.00,"28,411","10,098,512",139,350.20(-9.8) ,360.00,355.44,423.00,275.50,"3,322.96"
2024-03-20,30,CGH,833.00,846.60,846.60,821.00,"8,661","7,205,919.1",139,833.00(3) ,830.00,831.99,"1,520.00",796.20,"12,778.98"
2024-03-20,31,CHCL,467.00,462.00,474.80,461.30,"28,661","13,356,994.7",222,467.00(0) ,467.00,466.03,594.00,452.10,"37,285.27"
2024-03-20,32,CHDC,954.90,942.00,963.90,936.20,"4,795","4,534,225.6",94,954.90(12.9) ,942.00,945.61,"1,217.20",681.20,"8,015.53"
2024-03-20,33,CHL,292.80,293.10,298.80,287.30,"7,273","2,131,988.3",69,292.80(0.3) ,292.50,293.13,337.00,194.10,"1,133.07"
2024-03-20,34,CIT,"2,118.00","2,130.00","2,137.00","2,110.00","6,091","12,922,087.4",162,"2,118.00(-4) ","2,122.00","2,121.50","2,704.00","1,850.00","112,545.23"
